unix,date,symbol,open,high,low,close,Volume ALGO,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,ALGO/USDT,0.37200000,0.37250000,0.36860000,0.36980000,646502.00000000,239376.27100000,1157
1658188800000,2022-07-19 00:00:00,ALGO/USDT,0.35950000,0.37860000,0.34620000,0.37200000,54178511.00000000,19661070.40860000,81139
1658102400000,2022-07-18 00:00:00,ALGO/USDT,0.33650000,0.36910000,0.33610000,0.35950000,52800159.00000000,18655009.21930000,73340
1658016000000,2022-07-17 00:00:00,ALGO/USDT,0.34050000,0.34380000,0.33260000,0.33650000,36415648.00000000,12313712.24330000,48274
1657929600000,2022-07-16 00:00:00,ALGO/USDT,0.32750000,0.34570000,0.32470000,0.34050000,44246344.00000000,14867615.27760000,57540
1657843200000,2022-07-15 00:00:00,ALGO/USDT,0.32990000,0.33280000,0.32060000,0.32750000,40805908.00000000,13347156.47860000,55372
1657756800000,2022-07-14 00:00:00,ALGO/USDT,0.31000000,0.33290000,0.30120000,0.32960000,47603300.00000000,14986772.86190000,53725
1657670400000,2022-07-13 00:00:00,ALGO/USDT,0.29250000,0.31120000,0.28980000,0.31000000,35872400.00000000,10766769.15680000,46285
1657584000000,2022-07-12 00:00:00,ALGO/USDT,0.29710000,0.30460000,0.29160000,0.29260000,23515987.00000000,7014997.89900000,29079
1657497600000,2022-07-11 00:00:00,ALGO/USDT,0.31040000,0.31050000,0.29650000,0.29700000,25984217.00000000,7880188.62180000,32780
1657411200000,2022-07-10 00:00:00,ALGO/USDT,0.32150000,0.32300000,0.30580000,0.31010000,24894545.00000000,7802451.82170000,28134
1657324800000,2022-07-09 00:00:00,ALGO/USDT,0.31410000,0.32420000,0.31400000,0.32140000,23761450.00000000,7604207.85510000,29857
1657238400000,2022-07-08 00:00:00,ALGO/USDT,0.32240000,0.32860000,0.30960000,0.31410000,34790596.00000000,11081250.70140000,43881
1657152000000,2022-07-07 00:00:00,ALGO/USDT,0.31090000,0.32560000,0.31000000,0.32240000,34557306.00000000,10932494.16860000,40983
1657065600000,2022-07-06 00:00:00,ALGO/USDT,0.30780000,0.31320000,0.30190000,0.31080000,29748252.00000000,9179136.85920000,38669
1656979200000,2022-07-05 00:00:00,ALGO/USDT,0.31970000,0.32300000,0.30120000,0.30780000,29966506.00000000,9356102.27100000,41814
1656892800000,2022-07-04 00:00:00,ALGO/USDT,0.30960000,0.32110000,0.29990000,0.31960000,31432233.00000000,9791160.75600000,40114
1656806400000,2022-07-03 00:00:00,ALGO/USDT,0.30760000,0.31550000,0.30110000,0.30960000,23535490.00000000,7241766.87130000,33454
1656720000000,2022-07-02 00:00:00,ALGO/USDT,0.30650000,0.31200000,0.29890000,0.30760000,39577636.00000000,12062300.30320000,53412
1656633600000,2022-07-01 00:00:00,ALGO/USDT,0.31480000,0.32390000,0.29940000,0.30660000,52139085.00000000,16069342.61780000,83152
1656547200000,2022-06-30 00:00:00,ALGO/USDT,0.30180000,0.31740000,0.28370000,0.31470000,63403479.00000000,18933447.67920000,104850
1656460800000,2022-06-29 00:00:00,ALGO/USDT,0.31270000,0.31700000,0.29500000,0.30170000,45922030.00000000,13982763.59790000,61379
1656374400000,2022-06-28 00:00:00,ALGO/USDT,0.33110000,0.33760000,0.31050000,0.31260000,29951272.00000000,9738511.94940000,46029
1656288000000,2022-06-27 00:00:00,ALGO/USDT,0.33190000,0.34660000,0.32480000,0.33110000,27184860.00000000,9106554.71940000,41762
1656201600000,2022-06-26 00:00:00,ALGO/USDT,0.35190000,0.36040000,0.33130000,0.33210000,26667075.00000000,9253800.90770000,46000
1656115200000,2022-06-25 00:00:00,ALGO/USDT,0.34970000,0.35740000,0.33480000,0.35150000,30284166.00000000,10537246.42390000,49501
1656028800000,2022-06-24 00:00:00,ALGO/USDT,0.33610000,0.35850000,0.33460000,0.34970000,37126123.00000000,12928739.34450000,62051
1655942400000,2022-06-23 00:00:00,ALGO/USDT,0.31380000,0.33780000,0.31200000,0.33610000,31109121.00000000,10107752.16460000,47887
1655856000000,2022-06-22 00:00:00,ALGO/USDT,0.32570000,0.33200000,0.31200000,0.31380000,36120903.00000000,11574146.21380000,55823
1655769600000,2022-06-21 00:00:00,ALGO/USDT,0.31850000,0.34420000,0.31450000,0.32570000,44107119.00000000,14539268.86820000,72722
1655683200000,2022-06-20 00:00:00,ALGO/USDT,0.31450000,0.32700000,0.30120000,0.31860000,43502316.00000000,13710305.59420000,66424
1655596800000,2022-06-19 00:00:00,ALGO/USDT,0.29590000,0.31940000,0.28460000,0.31460000,55927909.00000000,16910400.16400000,83565
1655510400000,2022-06-18 00:00:00,ALGO/USDT,0.31020000,0.31490000,0.27510000,0.29590000,62017145.00000000,18262641.50530000,84022
1655424000000,2022-06-17 00:00:00,ALGO/USDT,0.30210000,0.31810000,0.29880000,0.31020000,41537309.00000000,12859218.09240000,59510
1655337600000,2022-06-16 00:00:00,ALGO/USDT,0.34030000,0.34480000,0.29580000,0.30200000,73989009.00000000,23487131.67580000,107144
1655251200000,2022-06-15 00:00:00,ALGO/USDT,0.30860000,0.39830000,0.27830000,0.34020000,127342395.00000000,39218093.12960000,201484
1655164800000,2022-06-14 00:00:00,ALGO/USDT,0.30400000,0.31100000,0.28210000,0.30860000,94138951.00000000,28356413.36311900,139014
1655078400000,2022-06-13 00:00:00,ALGO/USDT,0.32440000,0.32950000,0.28790000,0.30390000,115411090.75000000,35198866.99438500,171708
1654992000000,2022-06-12 00:00:00,ALGO/USDT,0.35050000,0.35190000,0.32370000,0.32480000,42832653.00000000,14359887.26569900,65033
1654905600000,2022-06-11 00:00:00,ALGO/USDT,0.36890000,0.37990000,0.33820000,0.35060000,38694246.00000000,13847994.66577000,57138
1654819200000,2022-06-10 00:00:00,ALGO/USDT,0.40430000,0.40490000,0.36280000,0.36890000,42855751.00000000,16397890.02530000,66197
1654732800000,2022-06-09 00:00:00,ALGO/USDT,0.41680000,0.41830000,0.40000000,0.40420000,25294070.00000000,10364326.70880000,43889
1654646400000,2022-06-08 00:00:00,ALGO/USDT,0.39900000,0.43160000,0.39860000,0.41650000,50514639.00000000,20923332.28460000,83993
1654560000000,2022-06-07 00:00:00,ALGO/USDT,0.41260000,0.41350000,0.37660000,0.39890000,33290027.00000000,13068662.57720000,58583
1654473600000,2022-06-06 00:00:00,ALGO/USDT,0.39190000,0.42470000,0.39080000,0.41280000,33806485.00000000,13839385.59170000,57478
