unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,BAT/USDT,0.42990000,0.43770000,0.42950000,0.43600000,529486.00000000,229834.05580000,1131
1658188800000,2022-07-19 00:00:00,BAT/USDT,0.41300000,0.43980000,0.41100000,0.43000000,25695091.00000000,10986083.17570000,49301
1658102400000,2022-07-18 00:00:00,BAT/USDT,0.38340000,0.42010000,0.38240000,0.41430000,17780183.00000000,7211888.75920000,34622
1658016000000,2022-07-17 00:00:00,BAT/USDT,0.39880000,0.40740000,0.38230000,0.38340000,10318963.00000000,4073992.43820000,18650
1657929600000,2022-07-16 00:00:00,BAT/USDT,0.38890000,0.40430000,0.38280000,0.39890000,12942252.00000000,5088635.34080000,24309
1657843200000,2022-07-15 00:00:00,BAT/USDT,0.38880000,0.40070000,0.38140000,0.38890000,15011759.00000000,5883803.96510000,27702
1657756800000,2022-07-14 00:00:00,BAT/USDT,0.38470000,0.38890000,0.35950000,0.38870000,15610267.00000000,5856561.80360000,26116
1657670400000,2022-07-13 00:00:00,BAT/USDT,0.36710000,0.38610000,0.34760000,0.38520000,17951270.00000000,6564817.81090000,33573
1657584000000,2022-07-12 00:00:00,BAT/USDT,0.37490000,0.39040000,0.36170000,0.36700000,18621175.00000000,7012383.88880000,27358
1657497600000,2022-07-11 00:00:00,BAT/USDT,0.40850000,0.40850000,0.37180000,0.37490000,14133114.00000000,5495159.78400000,25788
1657411200000,2022-07-10 00:00:00,BAT/USDT,0.43270000,0.43650000,0.40280000,0.40840000,9533608.00000000,3961923.52650000,20429
1657324800000,2022-07-09 00:00:00,BAT/USDT,0.43250000,0.44220000,0.42350000,0.43250000,9583385.00000000,4136795.14400000,19428
1657238400000,2022-07-08 00:00:00,BAT/USDT,0.45250000,0.45850000,0.42640000,0.43260000,16587191.00000000,7277811.41660000,32943
1657152000000,2022-07-07 00:00:00,BAT/USDT,0.44110000,0.45950000,0.44080000,0.45240000,18418052.00000000,8300777.74260000,35532
1657065600000,2022-07-06 00:00:00,BAT/USDT,0.44110000,0.44630000,0.42530000,0.44100000,22241391.00000000,9670872.64380000,47270
1656979200000,2022-07-05 00:00:00,BAT/USDT,0.40620000,0.45670000,0.40460000,0.44140000,48749541.00000000,21079866.61610000,100294
1656892800000,2022-07-04 00:00:00,BAT/USDT,0.40120000,0.40890000,0.38500000,0.40620000,11668848.00000000,4635954.86780000,22670
1656806400000,2022-07-03 00:00:00,BAT/USDT,0.41240000,0.41270000,0.38550000,0.40130000,13842773.00000000,5499805.02570000,30846
1656720000000,2022-07-02 00:00:00,BAT/USDT,0.40380000,0.42110000,0.39520000,0.41250000,20657355.00000000,8440460.01220000,42683
1656633600000,2022-07-01 00:00:00,BAT/USDT,0.39240000,0.41860000,0.38070000,0.40360000,32825130.00000000,13183723.74530000,73124
1656547200000,2022-06-30 00:00:00,BAT/USDT,0.38560000,0.39500000,0.35170000,0.39260000,22217296.00000000,8235867.89860000,49346
1656460800000,2022-06-29 00:00:00,BAT/USDT,0.37170000,0.39150000,0.35950000,0.38500000,25066847.00000000,9448453.24500000,53999
1656374400000,2022-06-28 00:00:00,BAT/USDT,0.38890000,0.40750000,0.36780000,0.37170000,20718352.00000000,8099693.23810000,44343
1656288000000,2022-06-27 00:00:00,BAT/USDT,0.39430000,0.41240000,0.37850000,0.38840000,12656715.00000000,5003839.43690000,28631
1656201600000,2022-06-26 00:00:00,BAT/USDT,0.43100000,0.43510000,0.39120000,0.39430000,13785739.00000000,5695937.46620000,35534
1656115200000,2022-06-25 00:00:00,BAT/USDT,0.43500000,0.44080000,0.40350000,0.43110000,17227689.00000000,7296168.65520000,42516
1656028800000,2022-06-24 00:00:00,BAT/USDT,0.40560000,0.44300000,0.40460000,0.43480000,38622242.00000000,16465225.57220000,73967
1655942400000,2022-06-23 00:00:00,BAT/USDT,0.36460000,0.41150000,0.36180000,0.40600000,30159606.00000000,11718477.38860000,59728
1655856000000,2022-06-22 00:00:00,BAT/USDT,0.37330000,0.39510000,0.35360000,0.36460000,39804568.00000000,14751616.84810000,72576
1655769600000,2022-06-21 00:00:00,BAT/USDT,0.36040000,0.40550000,0.35820000,0.37330000,44945808.00000000,17281240.87530000,82951
1655683200000,2022-06-20 00:00:00,BAT/USDT,0.34000000,0.38840000,0.33580000,0.36060000,48735994.00000000,17738134.45930000,92026
1655596800000,2022-06-19 00:00:00,BAT/USDT,0.31160000,0.34640000,0.29560000,0.34000000,31838617.00000000,10143847.99530000,58826
1655510400000,2022-06-18 00:00:00,BAT/USDT,0.33810000,0.34050000,0.29140000,0.31180000,32812534.00000000,10281977.11060000,52582
1655424000000,2022-06-17 00:00:00,BAT/USDT,0.32230000,0.34730000,0.31010000,0.33780000,26518601.00000000,8849823.76310000,43838
1655337600000,2022-06-16 00:00:00,BAT/USDT,0.36220000,0.36670000,0.30900000,0.32230000,32958784.00000000,10933161.32810000,65201
