unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,BNB/USDT,268.60000000,269.00000000,266.50000000,266.60000000,14039.65300000,3756857.25740000,5003
1658188800000,2022-07-19 00:00:00,BNB/USDT,264.10000000,274.80000000,255.80000000,268.60000000,946386.94000000,250265863.90800000,385068
1658102400000,2022-07-18 00:00:00,BNB/USDT,247.80000000,265.60000000,247.60000000,264.10000000,747067.02900000,193593760.80250000,328943
1658016000000,2022-07-17 00:00:00,BNB/USDT,249.80000000,256.10000000,246.40000000,247.80000000,436448.54700000,109732342.97230000,222746
1657929600000,2022-07-16 00:00:00,BNB/USDT,238.60000000,251.50000000,233.90000000,249.80000000,423399.99400000,103010813.27410000,212250
1657843200000,2022-07-15 00:00:00,BNB/USDT,238.60000000,242.70000000,235.40000000,238.50000000,446513.82200000,106441090.03600000,199251
1657756800000,2022-07-14 00:00:00,BNB/USDT,230.50000000,240.00000000,227.10000000,238.50000000,577524.87400000,134737102.36930000,238148
1657670400000,2022-07-13 00:00:00,BNB/USDT,220.60000000,231.30000000,216.40000000,230.50000000,714589.61000000,159664486.60010000,276741
1657584000000,2022-07-12 00:00:00,BNB/USDT,225.70000000,228.30000000,220.20000000,220.60000000,410220.06600000,92021837.15890000,179212
1657497600000,2022-07-11 00:00:00,BNB/USDT,234.70000000,235.00000000,225.10000000,225.60000000,419335.06700000,96787885.92100000,194203
1657411200000,2022-07-10 00:00:00,BNB/USDT,243.30000000,243.50000000,231.70000000,234.70000000,396712.23700000,93608353.66370000,163249
1657324800000,2022-07-09 00:00:00,BNB/USDT,240.70000000,245.00000000,240.40000000,243.30000000,267778.16500000,65028839.73070000,139755
1657238400000,2022-07-08 00:00:00,BNB/USDT,241.40000000,247.70000000,237.00000000,240.70000000,643936.03400000,155410733.43500000,250004
1657152000000,2022-07-07 00:00:00,BNB/USDT,238.60000000,243.80000000,230.00000000,241.40000000,488193.22500000,116889808.36600000,215455
1657065600000,2022-07-06 00:00:00,BNB/USDT,230.80000000,240.00000000,229.00000000,238.60000000,644951.71300000,152035811.01070000,246590
1656979200000,2022-07-05 00:00:00,BNB/USDT,231.60000000,236.60000000,222.90000000,230.80000000,684927.62100000,157531502.55750000,260306
1656892800000,2022-07-04 00:00:00,BNB/USDT,219.20000000,232.20000000,214.80000000,231.50000000,514662.94600000,115095649.76200000,210928
1656806400000,2022-07-03 00:00:00,BNB/USDT,218.40000000,220.10000000,213.90000000,219.20000000,361103.06500000,78551392.80710000,151738
1656720000000,2022-07-02 00:00:00,BNB/USDT,216.90000000,219.70000000,213.80000000,218.30000000,342712.09900000,74221672.51560000,171343
1656633600000,2022-07-01 00:00:00,BNB/USDT,219.60000000,226.80000000,213.50000000,216.90000000,816261.88500000,179748144.21870000,292502
1656547200000,2022-06-30 00:00:00,BNB/USDT,219.70000000,220.30000000,205.40000000,219.60000000,791526.89800000,168111073.72770000,312512
1656460800000,2022-06-29 00:00:00,BNB/USDT,227.00000000,229.80000000,215.40000000,219.70000000,711780.69100000,157422165.44550000,286457
1656374400000,2022-06-28 00:00:00,BNB/USDT,233.90000000,242.80000000,225.90000000,226.90000000,632626.77900000,149006957.87040000,295208
1656288000000,2022-06-27 00:00:00,BNB/USDT,234.00000000,241.00000000,230.00000000,233.80000000,483616.79800000,113847391.76890000,224326
1656201600000,2022-06-26 00:00:00,BNB/USDT,239.70000000,245.20000000,233.20000000,233.90000000,456762.54700000,109213172.71130000,231565
1656115200000,2022-06-25 00:00:00,BNB/USDT,240.30000000,242.10000000,229.70000000,239.70000000,490948.31000000,116387757.59030000,238844
1656028800000,2022-06-24 00:00:00,BNB/USDT,229.00000000,243.30000000,228.30000000,240.20000000,707275.38700000,166839422.15640000,313643
1655942400000,2022-06-23 00:00:00,BNB/USDT,214.40000000,231.70000000,214.00000000,228.90000000,783796.95200000,175743668.56060000,299259
1655856000000,2022-06-22 00:00:00,BNB/USDT,220.20000000,221.00000000,211.20000000,214.40000000,690466.46500000,149052138.75770000,251238
1655769600000,2022-06-21 00:00:00,BNB/USDT,216.50000000,228.40000000,213.10000000,220.10000000,829003.56500000,183872676.73580000,302528
1655683200000,2022-06-20 00:00:00,BNB/USDT,215.10000000,219.80000000,204.80000000,216.50000000,880400.84400000,187322962.28610000,315623
1655596800000,2022-06-19 00:00:00,BNB/USDT,197.00000000,217.00000000,189.70000000,215.10000000,1102166.17100000,224920974.61150000,354926
1655510400000,2022-06-18 00:00:00,BNB/USDT,215.80000000,219.00000000,183.40000000,197.00000000,1404690.49590000,279072472.25676900,457262
1655424000000,2022-06-17 00:00:00,BNB/USDT,210.30000000,222.10000000,207.70000000,215.80000000,690834.30800000,149392114.50600000,249702
1655337600000,2022-06-16 00:00:00,BNB/USDT,233.60000000,237.20000000,207.70000000,210.20000000,975592.87300000,214986177.64970000,356855
1655251200000,2022-06-15 00:00:00,BNB/USDT,223.10000000,234.70000000,198.40000000,233.60000000,2105397.55150000,448547539.31953640,667284
1655164800000,2022-06-14 00:00:00,BNB/USDT,222.90000000,231.40000000,204.10000000,223.00000000,1922025.08440000,422925306.56543360,587234
1655078400000,2022-06-13 00:00:00,BNB/USDT,254.80000000,257.80000000,213.20000000,223.00000000,2377589.40890000,546805495.73361300,738817
