unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1642377600000,2022-01-17 00:00:00,BTT/USDT,0.00267700,0.00279500,0.00266000,0.00277700,3702123193.00000000,10127006.71492300,27405
1642291200000,2022-01-16 00:00:00,BTT/USDT,0.00252900,0.00268000,0.00252200,0.00267700,10132496636.00000000,26321153.39400600,49786
1642204800000,2022-01-15 00:00:00,BTT/USDT,0.00251800,0.00256100,0.00249100,0.00252900,8195739925.00000000,20695206.63588300,31546
1642118400000,2022-01-14 00:00:00,BTT/USDT,0.00249200,0.00261400,0.00244500,0.00252000,12602597754.00000000,31788643.33108000,92392
1642032000000,2022-01-13 00:00:00,BTT/USDT,0.00260000,0.00263100,0.00248100,0.00249100,11724259164.00000000,30062329.79305200,66576
1641945600000,2022-01-12 00:00:00,BTT/USDT,0.00250400,0.00262400,0.00249700,0.00259900,8386695688.00000000,21581314.74236800,59505
1641859200000,2022-01-11 00:00:00,BTT/USDT,0.00243400,0.00252800,0.00239900,0.00250400,9285268273.00000000,22873499.72305900,56478
1641772800000,2022-01-10 00:00:00,BTT/USDT,0.00246700,0.00273500,0.00229000,0.00243500,18270680365.00000000,45549774.27071400,117715
1641686400000,2022-01-09 00:00:00,BTT/USDT,0.00242300,0.00252200,0.00239900,0.00246900,7876850760.00000000,19380596.02780600,43369
1641600000000,2022-01-08 00:00:00,BTT/USDT,0.00257900,0.00262400,0.00234500,0.00242300,10502032920.00000000,26177621.63311300,61972
1641513600000,2022-01-07 00:00:00,BTT/USDT,0.00278000,0.00279100,0.00255600,0.00257900,10885140962.00000000,28698044.85206700,75395
1641427200000,2022-01-06 00:00:00,BTT/USDT,0.00276800,0.00282100,0.00267400,0.00278000,9409179946.00000000,25871384.80962900,74040
1641340800000,2022-01-05 00:00:00,BTT/USDT,0.00290100,0.00319000,0.00265100,0.00276500,26739659764.00000000,80759540.48037700,221836
1641254400000,2022-01-04 00:00:00,BTT/USDT,0.00275800,0.00306000,0.00269100,0.00290000,23256050530.00000000,67377560.82709600,163202
1641168000000,2022-01-03 00:00:00,BTT/USDT,0.00281600,0.00286900,0.00272500,0.00275600,9647649805.00000000,26903977.98529200,57760
1641081600000,2022-01-02 00:00:00,BTT/USDT,0.00275700,0.00283100,0.00272400,0.00281600,8302838972.00000000,23073013.56163700,50660
1640995200000,2022-01-01 00:00:00,BTT/USDT,0.00272200,0.00277400,0.00271300,0.00275700,6707225954.00000000,18410821.00692100,36428
1640908800000,2021-12-31 00:00:00,BTT/USDT,0.00279300,0.00285000,0.00263500,0.00272200,12577001285.00000000,34805523.76776500,72625
1640822400000,2021-12-30 00:00:00,BTT/USDT,0.00269900,0.00288300,0.00262900,0.00279200,16894228742.00000000,46724433.13046300,104032
1640736000000,2021-12-29 00:00:00,BTT/USDT,0.00263400,0.00310600,0.00262600,0.00270000,34877790621.00000000,99818579.62400700,255491
1640649600000,2021-12-28 00:00:00,BTT/USDT,0.00281400,0.00281500,0.00262900,0.00263400,14806467632.00000000,40141179.00654600,75620
1640563200000,2021-12-27 00:00:00,BTT/USDT,0.00282200,0.00292000,0.00279600,0.00281300,12463347828.00000000,35658545.85719500,74707
1640476800000,2021-12-26 00:00:00,BTT/USDT,0.00282300,0.00285000,0.00274500,0.00282200,9137590787.00000000,25597001.03455800,59085
1640390400000,2021-12-25 00:00:00,BTT/USDT,0.00279600,0.00286200,0.00278000,0.00282300,7520001935.00000000,21159937.39773200,51294
1640304000000,2021-12-24 00:00:00,BTT/USDT,0.00286900,0.00292800,0.00276300,0.00279500,11669177093.00000000,33349831.26153400,91407
1640217600000,2021-12-23 00:00:00,BTT/USDT,0.00270700,0.00299800,0.00266300,0.00286800,14484161638.00000000,40291424.39405200,127502
1640131200000,2021-12-22 00:00:00,BTT/USDT,0.00269700,0.00275000,0.00267600,0.00270700,8043539942.00000000,21840300.62392300,63839
1640044800000,2021-12-21 00:00:00,BTT/USDT,0.00263300,0.00271600,0.00257800,0.00269800,7163710530.00000000,19052875.86648500,60936
1639958400000,2021-12-20 00:00:00,BTT/USDT,0.00265100,0.00267700,0.00247100,0.00263200,10148369564.00000000,26090733.63906600,82800
1639872000000,2021-12-19 00:00:00,BTT/USDT,0.00268300,0.00272200,0.00262600,0.00265200,6632157029.00000000,17780863.60654000,59188
1639785600000,2021-12-18 00:00:00,BTT/USDT,0.00263600,0.00271500,0.00259000,0.00268300,7314345282.00000000,19535887.98293300,69784
1639699200000,2021-12-17 00:00:00,BTT/USDT,0.00274200,0.00280900,0.00252200,0.00263600,11726656259.00000000,31343039.04799400,112721
1639612800000,2021-12-16 00:00:00,BTT/USDT,0.00284900,0.00287600,0.00273200,0.00274100,9609586651.00000000,27024912.00930000,101279
1639526400000,2021-12-15 00:00:00,BTT/USDT,0.00283200,0.00287700,0.00260400,0.00284800,16017798319.00000000,44075403.18678100,166886
