unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,DOGE/USDT,0.06902000,0.06914000,0.06802000,0.06820000,13729648.00000000,941878.25013000,3080
1658188800000,2022-07-19 00:00:00,DOGE/USDT,0.06755000,0.07025000,0.06539000,0.06901000,1049353576.00000000,71280807.39764000,211211
1658102400000,2022-07-18 00:00:00,DOGE/USDT,0.06306000,0.06897000,0.06299000,0.06756000,1153131436.00000000,76698811.25945000,211722
1658016000000,2022-07-17 00:00:00,DOGE/USDT,0.06437000,0.06552000,0.06289000,0.06306000,413264543.00000000,26531191.90230000,80443
1657929600000,2022-07-16 00:00:00,DOGE/USDT,0.06293000,0.06484000,0.06176000,0.06439000,450542104.00000000,28598349.07682000,86274
1657843200000,2022-07-15 00:00:00,DOGE/USDT,0.06247000,0.06443000,0.06162000,0.06294000,651264714.00000000,41111678.24732000,119396
1657756800000,2022-07-14 00:00:00,DOGE/USDT,0.06194000,0.06282000,0.05946000,0.06246000,619370560.00000000,37889836.80867000,100279
1657670400000,2022-07-13 00:00:00,DOGE/USDT,0.05981000,0.06235000,0.05754000,0.06194000,765623144.00000000,46058378.15560000,135523
1657584000000,2022-07-12 00:00:00,DOGE/USDT,0.06175000,0.06316000,0.05972000,0.05982000,490698646.00000000,30143407.77588000,91247
1657497600000,2022-07-11 00:00:00,DOGE/USDT,0.06728000,0.06729000,0.06119000,0.06175000,567740257.00000000,36619245.03575000,99063
1657411200000,2022-07-10 00:00:00,DOGE/USDT,0.06947000,0.06950000,0.06626000,0.06728000,500345310.00000000,33772694.86866000,76057
1657324800000,2022-07-09 00:00:00,DOGE/USDT,0.06906000,0.07019000,0.06881000,0.06947000,356555177.00000000,24788969.66587000,65425
1657238400000,2022-07-08 00:00:00,DOGE/USDT,0.07056000,0.07350000,0.06823000,0.06906000,767634396.00000000,53866869.99886000,144875
1657152000000,2022-07-07 00:00:00,DOGE/USDT,0.06843000,0.07122000,0.06786000,0.07055000,698711394.00000000,48639931.15523000,117622
1657065600000,2022-07-06 00:00:00,DOGE/USDT,0.06716000,0.06930000,0.06616000,0.06844000,643845555.00000000,43652824.59127000,120657
1656979200000,2022-07-05 00:00:00,DOGE/USDT,0.06937000,0.07002000,0.06550000,0.06716000,634033746.00000000,42994496.94514000,128561
1656892800000,2022-07-04 00:00:00,DOGE/USDT,0.06721000,0.06981000,0.06566000,0.06938000,647421086.00000000,43855197.21635000,119132
