unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,DOT/USDT,7.79000000,7.82000000,7.67000000,7.70000000,166134.43000000,1287221.81850000,2596
1658188800000,2022-07-19 00:00:00,DOT/USDT,7.65000000,8.03000000,7.49000000,7.79000000,14586041.75000000,113531372.53220000,180975
1658102400000,2022-07-18 00:00:00,DOT/USDT,6.91000000,7.73000000,6.90000000,7.66000000,12596431.22000000,93668175.33000000,146911
1658016000000,2022-07-17 00:00:00,DOT/USDT,7.20000000,7.33000000,6.88000000,6.92000000,5172727.22000000,36744629.67110000,68732
1657929600000,2022-07-16 00:00:00,DOT/USDT,6.79000000,7.22000000,6.56000000,7.20000000,6479588.08000000,44569898.48420000,74939
1657843200000,2022-07-15 00:00:00,DOT/USDT,6.73000000,6.99000000,6.65000000,6.79000000,6331276.95000000,43246930.69120000,72915
1657756800000,2022-07-14 00:00:00,DOT/USDT,6.47000000,6.77000000,6.29000000,6.72000000,5683331.12000000,37031562.88560000,67101
1657670400000,2022-07-13 00:00:00,DOT/USDT,6.29000000,6.55000000,6.00000000,6.47000000,6999118.42000000,44083802.37650900,91643
1657584000000,2022-07-12 00:00:00,DOT/USDT,6.53000000,6.63000000,6.26000000,6.28000000,4787702.68000000,30983674.95090000,67143
1657497600000,2022-07-11 00:00:00,DOT/USDT,6.85000000,6.91000000,6.50000000,6.53000000,4986347.38000000,33661310.03160000,64923
1657411200000,2022-07-10 00:00:00,DOT/USDT,7.25000000,7.27000000,6.76000000,6.86000000,4503146.23000000,31370359.88230000,56618
1657324800000,2022-07-09 00:00:00,DOT/USDT,7.04000000,7.36000000,7.03000000,7.25000000,3537025.96000000,25553595.66080000,50100
1657238400000,2022-07-08 00:00:00,DOT/USDT,7.30000000,7.46000000,6.94000000,7.04000000,6835377.20000000,48843187.65700000,80147
1657152000000,2022-07-07 00:00:00,DOT/USDT,6.92000000,7.36000000,6.88000000,7.30000000,6147860.15000000,43704182.48920000,73511
1657065600000,2022-07-06 00:00:00,DOT/USDT,6.84000000,7.01000000,6.69000000,6.93000000,5792837.78000000,39832785.77460000,70443
1656979200000,2022-07-05 00:00:00,DOT/USDT,7.17000000,7.23000000,6.60000000,6.84000000,8211754.60000000,56368200.56690000,108593
1656892800000,2022-07-04 00:00:00,DOT/USDT,6.86000000,7.21000000,6.66000000,7.17000000,4883415.15000000,33941363.84000000,69376
1656806400000,2022-07-03 00:00:00,DOT/USDT,6.83000000,6.99000000,6.61000000,6.85000000,3092743.90000000,20955883.21970000,48284
1656720000000,2022-07-02 00:00:00,DOT/USDT,6.75000000,6.91000000,6.62000000,6.83000000,3127372.77000000,21155298.34470000,43896
1656633600000,2022-07-01 00:00:00,DOT/USDT,7.06000000,7.26000000,6.54000000,6.75000000,7477875.43000000,51016914.48550000,97326
1656547200000,2022-06-30 00:00:00,DOT/USDT,7.04000000,7.10000000,6.64000000,7.06000000,6917468.18000000,47323996.64910000,94117
1656460800000,2022-06-29 00:00:00,DOT/USDT,7.31000000,7.44000000,6.95000000,7.03000000,6972853.93000000,50044314.10090000,89615
1656374400000,2022-06-28 00:00:00,DOT/USDT,7.74000000,8.00000000,7.26000000,7.31000000,6104944.23000000,46731831.56590000,86584
1656288000000,2022-06-27 00:00:00,DOT/USDT,7.84000000,8.20000000,7.68000000,7.74000000,4689419.47000000,37231117.60740000,71708
1656201600000,2022-06-26 00:00:00,DOT/USDT,8.14000000,8.49000000,7.81000000,7.84000000,4772371.56000000,38890222.01240000,77539
1656115200000,2022-06-25 00:00:00,DOT/USDT,8.19000000,8.37000000,7.79000000,8.13000000,3861028.21000000,31232213.41590000,64495
1656028800000,2022-06-24 00:00:00,DOT/USDT,7.78000000,8.34000000,7.72000000,8.18000000,5534788.24000000,44563465.56050000,88031
1655942400000,2022-06-23 00:00:00,DOT/USDT,7.40000000,7.82000000,7.36000000,7.78000000,4766745.68000000,36326635.48640000,72097
1655856000000,2022-06-22 00:00:00,DOT/USDT,7.76000000,7.82000000,7.35000000,7.39000000,5249428.04000000,39661309.72030000,82576
1655769600000,2022-06-21 00:00:00,DOT/USDT,7.88000000,8.28000000,7.67000000,7.77000000,6447239.03000000,51745513.03430000,106059
1655683200000,2022-06-20 00:00:00,DOT/USDT,7.53000000,8.02000000,7.17000000,7.87000000,8079205.13000000,62081274.75320000,128520
1655596800000,2022-06-19 00:00:00,DOT/USDT,7.06000000,7.65000000,6.76000000,7.53000000,7341233.58000000,52686016.51800000,102644
1655510400000,2022-06-18 00:00:00,DOT/USDT,7.28000000,7.41000000,6.47000000,7.05000000,10420321.76000000,71400347.61840000,135699
1655424000000,2022-06-17 00:00:00,DOT/USDT,7.13000000,7.47000000,7.03000000,7.28000000,6187728.40000000,45074013.91870000,87678
1655337600000,2022-06-16 00:00:00,DOT/USDT,8.50000000,8.56000000,6.97000000,7.13000000,11913274.40000000,91641018.53800000,187912
1655251200000,2022-06-15 00:00:00,DOT/USDT,7.36000000,8.79000000,6.84000000,8.49000000,18683708.96000000,139120802.85040000,280199
1655164800000,2022-06-14 00:00:00,DOT/USDT,7.04000000,7.56000000,6.68000000,7.36000000,14217216.87000000,102415414.45340000,195338
1655078400000,2022-06-13 00:00:00,DOT/USDT,7.40000000,7.48000000,6.36000000,7.04000000,18666647.18100000,128651903.38803000,286131
1654992000000,2022-06-12 00:00:00,DOT/USDT,8.04000000,8.11000000,7.38000000,7.41000000,9340811.88000000,72280212.65500000,140323
1654905600000,2022-06-11 00:00:00,DOT/USDT,8.66000000,8.85000000,7.90000000,8.03000000,6779329.31000000,56441803.35580000,115676
1654819200000,2022-06-10 00:00:00,DOT/USDT,9.23000000,9.37000000,8.52000000,8.65000000,6447468.57000000,57441554.29000000,115506
1654732800000,2022-06-09 00:00:00,DOT/USDT,9.01000000,9.47000000,8.91000000,9.24000000,4879363.93000000,45051208.85530000,83722
1654646400000,2022-06-08 00:00:00,DOT/USDT,9.22000000,9.40000000,8.90000000,9.01000000,3812382.23000000,34736843.74900000,74199
1654560000000,2022-06-07 00:00:00,DOT/USDT,9.51000000,9.51000000,8.84000000,9.23000000,5096057.45000000,46606636.95470000,101635
1654473600000,2022-06-06 00:00:00,DOT/USDT,9.35000000,9.94000000,9.32000000,9.51000000,5016416.01000000,48679189.08470000,90771
1654387200000,2022-06-05 00:00:00,DOT/USDT,9.45000000,9.56000000,9.25000000,9.35000000,2387500.54000000,22401385.27980000,44509
1654300800000,2022-06-04 00:00:00,DOT/USDT,9.38000000,9.56000000,9.14000000,9.44000000,2764967.02000000,25867054.41970000,49414
1654214400000,2022-06-03 00:00:00,DOT/USDT,9.88000000,9.93000000,9.20000000,9.37000000,5185222.06000000,49178642.36350000,91231
1654128000000,2022-06-02 00:00:00,DOT/USDT,9.45000000,10.13000000,9.29000000,9.89000000,5917176.47000000,56882983.14900000,96897
1654041600000,2022-06-01 00:00:00,DOT/USDT,10.36000000,10.75000000,9.26000000,9.46000000,10157569.75000000,102483915.27230000,159686
1653955200000,2022-05-31 00:00:00,DOT/USDT,10.47000000,10.65000000,9.94000000,10.35000000,8792549.01000000,90890230.76760000,134597
1653868800000,2022-05-30 00:00:00,DOT/USDT,9.99000000,10.79000000,9.91000000,10.47000000,8473368.99000000,87691394.10140000,131600
1653782400000,2022-05-29 00:00:00,DOT/USDT,9.66000000,10.04000000,9.33000000,9.98000000,5865314.46000000,56842400.61200000,104928
1653696000000,2022-05-28 00:00:00,DOT/USDT,9.12000000,9.80000000,8.95000000,9.65000000,5955686.38000000,55738281.78040000,101637
