unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,EOS/USDT,1.07700000,1.08100000,1.05900000,1.06100000,608788.70000000,650631.64520000,1661
1658188800000,2022-07-19 00:00:00,EOS/USDT,1.05600000,1.09400000,1.02200000,1.07700000,16098502.10000000,17000572.58550000,58155
1658102400000,2022-07-18 00:00:00,EOS/USDT,0.98500000,1.07000000,0.98300000,1.05600000,15759464.10000000,16394228.34970000,54624
1658016000000,2022-07-17 00:00:00,EOS/USDT,1.00800000,1.02500000,0.97500000,0.98400000,10077781.70000000,10064277.87690000,30834
1657929600000,2022-07-16 00:00:00,EOS/USDT,0.97500000,1.01500000,0.95100000,1.00800000,9382656.70000000,9260295.82340000,29551
1657843200000,2022-07-15 00:00:00,EOS/USDT,0.97100000,0.99400000,0.95900000,0.97600000,8335527.70000000,8126486.56360000,26548
1657756800000,2022-07-14 00:00:00,EOS/USDT,0.95000000,0.97900000,0.91500000,0.97100000,10391470.20000000,9816581.67430000,28441
1657670400000,2022-07-13 00:00:00,EOS/USDT,0.91700000,0.95600000,0.88700000,0.95000000,9790604.40000000,9018736.97850000,30105
1657584000000,2022-07-12 00:00:00,EOS/USDT,0.94000000,0.95000000,0.91500000,0.91700000,5464154.50000000,5107588.80780000,18835
1657497600000,2022-07-11 00:00:00,EOS/USDT,1.00400000,1.00500000,0.93400000,0.94000000,5414442.90000000,5293793.11960000,17730
1657411200000,2022-07-10 00:00:00,EOS/USDT,1.03800000,1.03900000,0.99700000,1.00300000,4096373.40000000,4154307.12030000,14596
1657324800000,2022-07-09 00:00:00,EOS/USDT,1.01300000,1.04900000,1.01200000,1.03800000,4121781.70000000,4257730.47560000,14562
1657238400000,2022-07-08 00:00:00,EOS/USDT,1.03100000,1.07100000,1.00400000,1.01200000,9605938.70000000,9929807.94770000,30100
1657152000000,2022-07-07 00:00:00,EOS/USDT,1.00000000,1.03800000,0.98900000,1.03100000,6270924.50000000,6351185.59590000,20444
1657065600000,2022-07-06 00:00:00,EOS/USDT,0.97200000,1.01000000,0.96000000,1.00000000,7494015.90000000,7378279.78700000,23346
1656979200000,2022-07-05 00:00:00,EOS/USDT,0.98600000,1.00400000,0.93000000,0.97200000,11500715.60000000,11120409.82880000,35399
1656892800000,2022-07-04 00:00:00,EOS/USDT,0.94500000,0.98900000,0.92000000,0.98600000,6642131.30000000,6328964.10700000,22190
1656806400000,2022-07-03 00:00:00,EOS/USDT,0.93800000,0.95000000,0.91200000,0.94400000,5126285.80000000,4764930.86070000,17010
1656720000000,2022-07-02 00:00:00,EOS/USDT,0.91000000,0.94600000,0.90000000,0.93700000,5026217.60000000,4624183.58130000,17140
1656633600000,2022-07-01 00:00:00,EOS/USDT,0.92600000,0.95500000,0.88900000,0.91000000,8869637.90000000,8143713.65880000,29674
1656547200000,2022-06-30 00:00:00,EOS/USDT,0.93700000,0.93900000,0.86900000,0.92600000,9725580.50000000,8750677.35260000,32520
1656460800000,2022-06-29 00:00:00,EOS/USDT,0.94500000,0.95900000,0.92100000,0.93600000,8072855.70000000,7585797.26740000,28638
1656374400000,2022-06-28 00:00:00,EOS/USDT,0.98500000,1.00500000,0.94100000,0.94400000,9874526.80000000,9661987.33470000,31231
1656288000000,2022-06-27 00:00:00,EOS/USDT,0.98900000,1.02800000,0.96800000,0.98500000,11104910.50000000,11072014.30400000,35073
1656201600000,2022-06-26 00:00:00,EOS/USDT,1.00800000,1.04000000,0.98700000,0.99000000,9519528.70000000,9656053.34890000,31431
1656115200000,2022-06-25 00:00:00,EOS/USDT,1.00500000,1.02700000,0.97100000,1.00700000,6542505.40000000,6545200.28160000,27459
1656028800000,2022-06-24 00:00:00,EOS/USDT,0.97400000,1.02100000,0.97400000,1.00400000,12488313.30000000,12466644.12490000,46024
1655942400000,2022-06-23 00:00:00,EOS/USDT,0.92500000,0.97700000,0.92200000,0.97400000,10146709.60000000,9710596.49620000,31174
1655856000000,2022-06-22 00:00:00,EOS/USDT,0.96400000,0.96400000,0.91800000,0.92500000,11914358.00000000,11169486.46840000,36409
1655769600000,2022-06-21 00:00:00,EOS/USDT,0.96200000,1.00500000,0.94600000,0.96400000,12512600.50000000,12217775.48460000,41498
1655683200000,2022-06-20 00:00:00,EOS/USDT,0.96800000,0.98700000,0.92300000,0.96100000,10565193.30000000,10080806.33960000,40806
1655596800000,2022-06-19 00:00:00,EOS/USDT,0.88800000,0.97900000,0.86000000,0.96800000,13527144.10000000,12299814.67400000,46121
1655510400000,2022-06-18 00:00:00,EOS/USDT,0.93800000,0.95000000,0.81500000,0.88700000,22306420.50000000,19673799.04610000,64430
1655424000000,2022-06-17 00:00:00,EOS/USDT,0.91100000,0.96400000,0.90400000,0.93800000,12207284.20000000,11446559.05140000,39440
1655337600000,2022-06-16 00:00:00,EOS/USDT,1.00900000,1.02400000,0.90100000,0.91100000,18583046.80000000,17748331.71260000,58555
1655251200000,2022-06-15 00:00:00,EOS/USDT,0.94000000,1.01600000,0.85400000,1.00900000,31045898.70000000,28362722.33790000,106226
1655164800000,2022-06-14 00:00:00,EOS/USDT,0.91900000,0.96200000,0.85200000,0.94100000,27096917.00000000,24967441.64940000,99004
1655078400000,2022-06-13 00:00:00,EOS/USDT,1.03000000,1.07000000,0.87700000,0.91900000,44526927.75000000,42033607.35250000,159123
1654992000000,2022-06-12 00:00:00,EOS/USDT,1.11900000,1.12700000,1.02900000,1.03000000,18458374.75000000,19806543.57140000,70424
1654905600000,2022-06-11 00:00:00,EOS/USDT,1.18400000,1.21400000,1.09800000,1.11700000,13272651.06000000,15307793.33060000,55968
1654819200000,2022-06-10 00:00:00,EOS/USDT,1.23900000,1.25200000,1.16300000,1.18400000,11608346.90000000,14060938.86500000,51722
1654732800000,2022-06-09 00:00:00,EOS/USDT,1.25400000,1.27600000,1.23000000,1.24000000,7859064.10000000,9850969.22460000,33793
1654646400000,2022-06-08 00:00:00,EOS/USDT,1.28500000,1.30700000,1.24200000,1.25400000,10462096.00000000,13275774.34330000,44944
1654560000000,2022-06-07 00:00:00,EOS/USDT,1.30300000,1.32500000,1.21800000,1.28500000,12212900.50000000,15426674.74700000,53725
1654473600000,2022-06-06 00:00:00,EOS/USDT,1.26900000,1.33400000,1.26200000,1.30300000,9296973.70000000,12155511.58760000,39794
1654387200000,2022-06-05 00:00:00,EOS/USDT,1.28500000,1.29400000,1.25700000,1.27000000,5438527.70000000,6920594.09250000,23558
1654300800000,2022-06-04 00:00:00,EOS/USDT,1.26400000,1.29500000,1.24000000,1.28500000,6079076.60000000,7703925.54740000,26473
1654214400000,2022-06-03 00:00:00,EOS/USDT,1.29400000,1.30100000,1.23300000,1.26500000,8326429.20000000,10537786.77570000,35255
1654128000000,2022-06-02 00:00:00,EOS/USDT,1.26600000,1.29900000,1.24500000,1.29300000,11181886.20000000,14200198.12380000,47652
1654041600000,2022-06-01 00:00:00,EOS/USDT,1.38100000,1.40700000,1.24000000,1.26700000,20081831.00000000,26734740.92830000,73432
1653955200000,2022-05-31 00:00:00,EOS/USDT,1.38700000,1.39900000,1.33000000,1.38000000,16518183.10000000,22541102.82380000,63486
1653868800000,2022-05-30 00:00:00,EOS/USDT,1.29300000,1.40200000,1.28200000,1.38600000,14137115.40000000,19048011.78380000,57954
1653782400000,2022-05-29 00:00:00,EOS/USDT,1.25600000,1.29600000,1.23100000,1.29400000,7980319.10000000,10062990.69200000,32435
1653696000000,2022-05-28 00:00:00,EOS/USDT,1.21600000,1.26500000,1.20700000,1.25600000,9086160.90000000,11292239.84130000,36095
1653609600000,2022-05-27 00:00:00,EOS/USDT,1.23700000,1.26100000,1.18700000,1.21500000,19306394.10000000,23644860.66240000,77488
1653523200000,2022-05-26 00:00:00,EOS/USDT,1.32500000,1.34100000,1.18900000,1.23800000,22110488.30000000,27768807.21420000,80018
1653436800000,2022-05-25 00:00:00,EOS/USDT,1.34400000,1.37300000,1.30600000,1.32500000,12824621.80000000,17117129.52610000,49045
1653350400000,2022-05-24 00:00:00,EOS/USDT,1.30800000,1.35800000,1.27200000,1.34400000,13400123.70000000,17649444.85720000,54067
1653264000000,2022-05-23 00:00:00,EOS/USDT,1.35400000,1.43800000,1.29200000,1.30800000,18536264.10000000,25422053.32820000,73417
1653177600000,2022-05-22 00:00:00,EOS/USDT,1.30600000,1.37100000,1.29400000,1.35500000,11962377.50000000,16019871.61330000,45626
1653091200000,2022-05-21 00:00:00,EOS/USDT,1.27300000,1.32600000,1.24500000,1.30600000,10269043.90000000,13261585.56100000,36949
1653004800000,2022-05-20 00:00:00,EOS/USDT,1.32100000,1.34800000,1.24600000,1.27200000,13205055.70000000,17149350.61160000,70895
1652918400000,2022-05-19 00:00:00,EOS/USDT,1.26700000,1.33600000,1.22400000,1.32100000,16526865.90000000,21200983.37620000,71560
1652832000000,2022-05-18 00:00:00,EOS/USDT,1.37700000,1.39100000,1.26200000,1.26600000,13702263.80000000,18080411.83160000,60100
1652745600000,2022-05-17 00:00:00,EOS/USDT,1.31800000,1.39500000,1.31200000,1.37700000,15346808.00000000,20889784.58630000,64205
1652659200000,2022-05-16 00:00:00,EOS/USDT,1.40600000,1.40900000,1.27900000,1.31700000,19172801.00000000,25341192.34710000,78411
1652572800000,2022-05-15 00:00:00,EOS/USDT,1.35300000,1.40900000,1.31000000,1.40600000,14449033.20000000,19514319.47970000,69522
1652486400000,2022-05-14 00:00:00,EOS/USDT,1.34000000,1.38100000,1.25200000,1.35200000,18478405.70000000,24454884.79000000,70395
1652400000000,2022-05-13 00:00:00,EOS/USDT,1.27400000,1.46100000,1.26000000,1.34000000,31383930.70000000,43490013.92570000,121309
1652313600000,2022-05-12 00:00:00,EOS/USDT,1.40900000,1.45700000,1.11000000,1.27400000,72943917.67000000,92696922.01582800,283856
1652227200000,2022-05-11 00:00:00,EOS/USDT,1.71600000,1.73700000,1.34100000,1.40900000,56018097.47000000,87088835.93020000,283603
1652140800000,2022-05-10 00:00:00,EOS/USDT,1.59000000,1.81600000,1.58800000,1.71600000,50653724.90000000,87027622.54690000,216884
1652054400000,2022-05-09 00:00:00,EOS/USDT,1.95100000,1.97700000,1.51600000,1.59000000,40601956.34000000,73357515.35509500,169285
1651968000000,2022-05-08 00:00:00,EOS/USDT,1.97800000,1.99300000,1.92800000,1.95000000,12982997.40000000,25475701.33760000,55413
1651881600000,2022-05-07 00:00:00,EOS/USDT,2.02400000,2.04900000,1.93000000,1.97700000,12347563.40000000,24798688.52570000,53427
1651795200000,2022-05-06 00:00:00,EOS/USDT,2.01300000,2.04900000,1.93700000,2.02400000,16799451.80000000,33650500.69120000,69236
1651708800000,2022-05-05 00:00:00,EOS/USDT,2.22600000,2.25100000,1.96000000,2.01300000,22883640.30000000,47611481.23070000,107711
