unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,ETC/USDT,25.26000000,25.52000000,24.26000000,24.36000000,391902.03000000,9654238.59140000,15736
1658188800000,2022-07-19 00:00:00,ETC/USDT,25.26000000,27.77000000,24.18000000,25.25000000,10493066.54000000,269593849.25720000,542825
1658102400000,2022-07-18 00:00:00,ETC/USDT,19.26000000,25.68000000,19.22000000,25.26000000,9597615.04000000,215194400.65320000,490813
1658016000000,2022-07-17 00:00:00,ETC/USDT,17.30000000,20.61000000,16.85000000,19.25000000,6775511.84000000,129694698.07470000,322489
1657929600000,2022-07-16 00:00:00,ETC/USDT,15.06000000,17.50000000,14.64000000,17.30000000,1595275.77000000,26030301.57290000,82545
1657843200000,2022-07-15 00:00:00,ETC/USDT,14.74000000,15.35000000,14.55000000,15.06000000,636213.73000000,9491717.45510000,28970
1657756800000,2022-07-14 00:00:00,ETC/USDT,14.42000000,14.80000000,13.93000000,14.73000000,581680.92000000,8355371.28280000,25540
1657670400000,2022-07-13 00:00:00,ETC/USDT,13.84000000,14.44000000,13.34000000,14.42000000,775459.04000000,10786990.28210000,34512
1657584000000,2022-07-12 00:00:00,ETC/USDT,14.20000000,14.37000000,13.80000000,13.84000000,479621.57000000,6786019.34160000,22811
1657497600000,2022-07-11 00:00:00,ETC/USDT,15.14000000,15.14000000,14.12000000,14.20000000,422389.81000000,6207314.63630000,20883
1657411200000,2022-07-10 00:00:00,ETC/USDT,15.85000000,15.86000000,14.98000000,15.13000000,503889.88000000,7728002.37640000,21662
1657324800000,2022-07-09 00:00:00,ETC/USDT,15.56000000,16.02000000,15.55000000,15.85000000,381746.05000000,6047219.68260000,20421
1657238400000,2022-07-08 00:00:00,ETC/USDT,15.89000000,16.36000000,15.40000000,15.57000000,617036.51000000,9745915.55180000,32459
1657152000000,2022-07-07 00:00:00,ETC/USDT,15.22000000,16.02000000,15.08000000,15.88000000,497505.04000000,7741616.68860000,24395
1657065600000,2022-07-06 00:00:00,ETC/USDT,14.93000000,15.36000000,14.73000000,15.22000000,499782.89000000,7498074.16910000,25463
1656979200000,2022-07-05 00:00:00,ETC/USDT,15.41000000,15.51000000,14.42000000,14.93000000,653160.31000000,9783028.09290000,32841
1656892800000,2022-07-04 00:00:00,ETC/USDT,14.81000000,15.46000000,14.41000000,15.40000000,529800.03000000,7904556.18700000,26529
