unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,FIL/USDT,6.05000000,6.06000000,5.92000000,5.99000000,134365.27000000,804425.87820000,1690
1658188800000,2022-07-19 00:00:00,FIL/USDT,5.94000000,6.27000000,5.65000000,6.04000000,8471456.61000000,50280204.14400000,91957
1658102400000,2022-07-18 00:00:00,FIL/USDT,5.69000000,6.15000000,5.62000000,5.94000000,7912736.66000000,46467825.69440000,93116
1658016000000,2022-07-17 00:00:00,FIL/USDT,5.40000000,5.98000000,5.36000000,5.68000000,6026073.74000000,34025053.05990000,78439
1657929600000,2022-07-16 00:00:00,FIL/USDT,5.23000000,5.45000000,5.16000000,5.39000000,2645929.39000000,14036594.82730000,31207
1657843200000,2022-07-15 00:00:00,FIL/USDT,5.36000000,5.46000000,5.20000000,5.23000000,3462156.29000000,18570017.92790000,40736
1657756800000,2022-07-14 00:00:00,FIL/USDT,5.29000000,5.42000000,5.16000000,5.36000000,3282763.85000000,17335646.13620000,37057
1657670400000,2022-07-13 00:00:00,FIL/USDT,5.08000000,5.32000000,5.00000000,5.29000000,4970121.70000000,25679548.53340000,58392
1657584000000,2022-07-12 00:00:00,FIL/USDT,5.20000000,5.29000000,5.05000000,5.08000000,2305642.57000000,11962150.20440000,34476
1657497600000,2022-07-11 00:00:00,FIL/USDT,5.50000000,5.50000000,5.14000000,5.19000000,2958980.23000000,15772967.29200000,40726
1657411200000,2022-07-10 00:00:00,FIL/USDT,5.79000000,5.80000000,5.43000000,5.49000000,2373369.88000000,13230924.47190000,34060
1657324800000,2022-07-09 00:00:00,FIL/USDT,5.73000000,5.90000000,5.68000000,5.79000000,2294724.30000000,13303208.16180000,32892
1657238400000,2022-07-08 00:00:00,FIL/USDT,5.80000000,5.93000000,5.57000000,5.74000000,3344501.44000000,19172401.84680000,41977
1657152000000,2022-07-07 00:00:00,FIL/USDT,5.56000000,5.87000000,5.53000000,5.80000000,3082124.48000000,17546032.82980000,38873
1657065600000,2022-07-06 00:00:00,FIL/USDT,5.49000000,5.67000000,5.42000000,5.56000000,3062328.05000000,16922595.75460000,40686
1656979200000,2022-07-05 00:00:00,FIL/USDT,5.56000000,5.64000000,5.31000000,5.49000000,3825419.06000000,20990456.55560000,47865
1656892800000,2022-07-04 00:00:00,FIL/USDT,5.30000000,5.61000000,5.21000000,5.55000000,3007206.69000000,16233512.68360000,41454
1656806400000,2022-07-03 00:00:00,FIL/USDT,5.33000000,5.40000000,5.19000000,5.30000000,1943201.24000000,10257556.89900000,31505
1656720000000,2022-07-02 00:00:00,FIL/USDT,5.34000000,5.40000000,5.21000000,5.34000000,1557650.01000000,8266461.50330000,25537
1656633600000,2022-07-01 00:00:00,FIL/USDT,5.40000000,5.56000000,5.23000000,5.35000000,4020007.23000000,21562871.77790000,55446
1656547200000,2022-06-30 00:00:00,FIL/USDT,5.46000000,5.51000000,5.08000000,5.40000000,3818364.89000000,20037966.15450000,55205
1656460800000,2022-06-29 00:00:00,FIL/USDT,5.51000000,5.60000000,5.36000000,5.46000000,3006934.64000000,16479778.45900000,46076
1656374400000,2022-06-28 00:00:00,FIL/USDT,5.78000000,5.97000000,5.43000000,5.51000000,3263512.76000000,18668194.56640000,47450
1656288000000,2022-06-27 00:00:00,FIL/USDT,5.82000000,6.11000000,5.65000000,5.78000000,3092687.50000000,18173480.91820000,48220
1656201600000,2022-06-26 00:00:00,FIL/USDT,6.08000000,6.35000000,5.80000000,5.82000000,3018711.73000000,18371097.42180000,48032
1656115200000,2022-06-25 00:00:00,FIL/USDT,6.12000000,6.30000000,5.85000000,6.08000000,2674292.51000000,16232820.30470000,43350
1656028800000,2022-06-24 00:00:00,FIL/USDT,5.80000000,6.30000000,5.75000000,6.12000000,3575388.56000000,21413823.74740000,53840
1655942400000,2022-06-23 00:00:00,FIL/USDT,5.52000000,5.92000000,5.51000000,5.79000000,2887753.32000000,16585928.49190000,48317
1655856000000,2022-06-22 00:00:00,FIL/USDT,5.96000000,5.98000000,5.44000000,5.52000000,4202505.22000000,23756511.62260000,65850
1655769600000,2022-06-21 00:00:00,FIL/USDT,5.46000000,6.40000000,5.40000000,5.96000000,6135130.70000000,36455635.66830000,98448
1655683200000,2022-06-20 00:00:00,FIL/USDT,5.49000000,5.69000000,5.29000000,5.45000000,2880741.22000000,15773928.85560000,53688
1655596800000,2022-06-19 00:00:00,FIL/USDT,5.12000000,5.55000000,4.98000000,5.49000000,3494280.74000000,18340500.34430000,58669
1655510400000,2022-06-18 00:00:00,FIL/USDT,5.35000000,5.43000000,4.80000000,5.11000000,4388092.61000000,22365635.75800000,70328
