unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,ICP/USDT,7.36000000,7.38000000,7.24000000,7.28000000,39069.18000000,285512.11640000,1064
1658188800000,2022-07-19 00:00:00,ICP/USDT,7.54000000,7.63000000,7.10000000,7.37000000,2439119.93000000,17971341.79280000,59017
1658102400000,2022-07-18 00:00:00,ICP/USDT,7.23000000,7.84000000,7.18000000,7.54000000,2856244.32000000,21453477.18580000,72890
1658016000000,2022-07-17 00:00:00,ICP/USDT,7.12000000,7.63000000,6.83000000,7.23000000,1958012.02000000,13965520.55230000,49425
1657929600000,2022-07-16 00:00:00,ICP/USDT,6.80000000,7.45000000,6.62000000,7.12000000,1743716.33000000,12330237.95330000,42545
1657843200000,2022-07-15 00:00:00,ICP/USDT,6.83000000,7.14000000,6.68000000,6.80000000,2279833.77000000,15822516.56900000,55599
1657756800000,2022-07-14 00:00:00,ICP/USDT,6.50000000,6.94000000,6.27000000,6.83000000,2444443.84000000,16164055.28730000,51777
1657670400000,2022-07-13 00:00:00,ICP/USDT,6.28000000,6.56000000,5.88000000,6.50000000,2942463.95000000,18296916.48540000,58147
1657584000000,2022-07-12 00:00:00,ICP/USDT,6.28000000,6.62000000,6.18000000,6.29000000,2302418.69000000,14751767.96240000,47649
1657497600000,2022-07-11 00:00:00,ICP/USDT,6.39000000,6.90000000,6.10000000,6.28000000,3024020.39000000,19903553.33840000,68638
1657411200000,2022-07-10 00:00:00,ICP/USDT,6.98000000,7.05000000,6.32000000,6.39000000,2314057.41000000,15258749.89010000,47283
1657324800000,2022-07-09 00:00:00,ICP/USDT,6.95000000,7.31000000,6.86000000,6.97000000,3365337.33000000,23665708.30100000,70360
1657238400000,2022-07-08 00:00:00,ICP/USDT,6.25000000,7.48000000,5.95000000,6.95000000,4974380.51000000,32872922.41880000,112496
1657152000000,2022-07-07 00:00:00,ICP/USDT,5.63000000,6.41000000,5.56000000,6.25000000,3291841.31000000,19703216.87060000,63575
1657065600000,2022-07-06 00:00:00,ICP/USDT,5.51000000,5.73000000,5.39000000,5.63000000,2142323.27000000,11930102.51170000,36233
1656979200000,2022-07-05 00:00:00,ICP/USDT,5.59000000,5.75000000,5.29000000,5.51000000,1737184.42000000,9654833.85170000,29607
1656892800000,2022-07-04 00:00:00,ICP/USDT,5.25000000,5.62000000,5.19000000,5.59000000,1360909.27000000,7389641.60380000,20981
1656806400000,2022-07-03 00:00:00,ICP/USDT,5.25000000,5.30000000,5.12000000,5.24000000,755625.87000000,3945247.82980000,12751
1656720000000,2022-07-02 00:00:00,ICP/USDT,5.24000000,5.38000000,5.13000000,5.24000000,1218713.39000000,6432657.64960000,15420
1656633600000,2022-07-01 00:00:00,ICP/USDT,5.35000000,5.47000000,5.12000000,5.24000000,1782847.84000000,9397990.73270000,27273
1656547200000,2022-06-30 00:00:00,ICP/USDT,5.42000000,5.44000000,5.01000000,5.35000000,1541292.60000000,7991810.90520000,29572
1656460800000,2022-06-29 00:00:00,ICP/USDT,5.49000000,5.62000000,5.26000000,5.42000000,1569163.19000000,8507775.85630000,30983
1656374400000,2022-06-28 00:00:00,ICP/USDT,5.79000000,6.03000000,5.43000000,5.49000000,2512955.74000000,14435080.05410000,39446
1656288000000,2022-06-27 00:00:00,ICP/USDT,5.75000000,6.14000000,5.67000000,5.78000000,2801321.61000000,16643736.76800000,37280
1656201600000,2022-06-26 00:00:00,ICP/USDT,6.32000000,6.34000000,5.74000000,5.76000000,2588408.55000000,15782822.62850000,40036
1656115200000,2022-06-25 00:00:00,ICP/USDT,6.12000000,6.47000000,5.92000000,6.32000000,2431558.21000000,14994465.52620000,40801
1656028800000,2022-06-24 00:00:00,ICP/USDT,5.82000000,6.25000000,5.73000000,6.12000000,2687368.95000000,16153585.26660000,43633
1655942400000,2022-06-23 00:00:00,ICP/USDT,5.45000000,5.88000000,5.43000000,5.81000000,3548685.37000000,20345854.28310000,40715
1655856000000,2022-06-22 00:00:00,ICP/USDT,5.83000000,5.84000000,5.39000000,5.45000000,2441822.45000000,13622449.23500000,46746
1655769600000,2022-06-21 00:00:00,ICP/USDT,5.77000000,6.28000000,5.62000000,5.84000000,3626095.77000000,21634677.73500000,65883
1655683200000,2022-06-20 00:00:00,ICP/USDT,5.49000000,5.90000000,5.25000000,5.78000000,3429404.69000000,19321302.37680000,62260
1655596800000,2022-06-19 00:00:00,ICP/USDT,5.14000000,5.54000000,4.90000000,5.49000000,2164790.55000000,11347029.92970000,41005
1655510400000,2022-06-18 00:00:00,ICP/USDT,5.45000000,5.54000000,4.60000000,5.15000000,3404757.30000000,17215442.25940000,53449
1655424000000,2022-06-17 00:00:00,ICP/USDT,5.33000000,5.56000000,5.23000000,5.44000000,1603202.11000000,8703218.30990000,29097
1655337600000,2022-06-16 00:00:00,ICP/USDT,5.99000000,6.06000000,5.25000000,5.33000000,3733750.02000000,20758356.48210000,59268
1655251200000,2022-06-15 00:00:00,ICP/USDT,5.57000000,6.05000000,5.03000000,6.00000000,4533324.67000000,24526695.34040000,71647
1655164800000,2022-06-14 00:00:00,ICP/USDT,5.43000000,5.92000000,5.06000000,5.57000000,4697908.47000000,26184378.15250000,68444
1655078400000,2022-06-13 00:00:00,ICP/USDT,5.64000000,6.12000000,5.19000000,5.44000000,8886097.77000000,49715833.74300000,124404
1654992000000,2022-06-12 00:00:00,ICP/USDT,5.97000000,6.48000000,5.45000000,5.64000000,12414992.90000000,74074062.70780000,135299
1654905600000,2022-06-11 00:00:00,ICP/USDT,6.10000000,6.70000000,5.55000000,5.97000000,15124011.72000000,92722389.88280000,153277
1654819200000,2022-06-10 00:00:00,ICP/USDT,6.40000000,6.54000000,6.05000000,6.10000000,2318190.74000000,14579860.95930000,38334
1654732800000,2022-06-09 00:00:00,ICP/USDT,6.50000000,6.96000000,6.29000000,6.40000000,3254282.60000000,21458946.45630000,53095
1654646400000,2022-06-08 00:00:00,ICP/USDT,6.83000000,7.00000000,6.49000000,6.50000000,3723221.39000000,25153999.08660000,63073
1654560000000,2022-06-07 00:00:00,ICP/USDT,7.59000000,7.60000000,6.74000000,6.82000000,5294967.75000000,36962681.62720000,83333
1654473600000,2022-06-06 00:00:00,ICP/USDT,7.34000000,8.04000000,7.32000000,7.58000000,2620965.43000000,20198449.43770000,56606
1654387200000,2022-06-05 00:00:00,ICP/USDT,7.75000000,7.76000000,7.27000000,7.35000000,2099675.31000000,15644449.96830000,44207
1654300800000,2022-06-04 00:00:00,ICP/USDT,7.92000000,7.98000000,7.49000000,7.74000000,3598339.85000000,27724058.78730000,62547
1654214400000,2022-06-03 00:00:00,ICP/USDT,9.45000000,9.64000000,7.81000000,7.92000000,6892942.70000000,59774361.43740000,155980
1654128000000,2022-06-02 00:00:00,ICP/USDT,7.62000000,9.80000000,7.48000000,9.44000000,8340228.12000000,73313618.45420000,194073
1654041600000,2022-06-01 00:00:00,ICP/USDT,8.26000000,8.44000000,7.43000000,7.62000000,3396828.80000000,27011228.21770000,67900
1653955200000,2022-05-31 00:00:00,ICP/USDT,8.11000000,8.73000000,7.97000000,8.27000000,3793075.48000000,31216063.54820000,85051
1653868800000,2022-05-30 00:00:00,ICP/USDT,7.12000000,8.36000000,7.05000000,8.12000000,3885323.07000000,29854803.88870000,75644
1653782400000,2022-05-29 00:00:00,ICP/USDT,7.24000000,7.42000000,6.97000000,7.12000000,1993155.82000000,14318482.26710000,37891
1653696000000,2022-05-28 00:00:00,ICP/USDT,6.97000000,7.44000000,6.75000000,7.24000000,1620894.88000000,11460670.42040000,33755
1653609600000,2022-05-27 00:00:00,ICP/USDT,7.30000000,7.51000000,6.82000000,6.97000000,2789660.91000000,19988236.58800000,59325
1653523200000,2022-05-26 00:00:00,ICP/USDT,7.79000000,7.92000000,6.95000000,7.30000000,2383898.96000000,17625120.61700000,52563
1653436800000,2022-05-25 00:00:00,ICP/USDT,7.92000000,8.06000000,7.60000000,7.79000000,1668717.80000000,13008897.08800000,36759
1653350400000,2022-05-24 00:00:00,ICP/USDT,7.76000000,7.93000000,7.33000000,7.92000000,2213890.83000000,17057273.52190000,50290
1653264000000,2022-05-23 00:00:00,ICP/USDT,8.23000000,8.86000000,7.55000000,7.77000000,3107087.13000000,25721174.18450000,73175
1653177600000,2022-05-22 00:00:00,ICP/USDT,8.00000000,8.37000000,7.85000000,8.22000000,1614046.04000000,13117952.19630000,34989
1653091200000,2022-05-21 00:00:00,ICP/USDT,7.77000000,8.25000000,7.59000000,8.00000000,1232048.77000000,9773134.69060000,30867
1653004800000,2022-05-20 00:00:00,ICP/USDT,8.20000000,8.46000000,7.54000000,7.77000000,2514395.68000000,20199433.69350000,56699
1652918400000,2022-05-19 00:00:00,ICP/USDT,7.51000000,8.33000000,7.30000000,8.19000000,1977946.08000000,15524991.89190000,50341
1652832000000,2022-05-18 00:00:00,ICP/USDT,8.62000000,8.76000000,7.45000000,7.51000000,2371585.92000000,18987456.03500000,56628
1652745600000,2022-05-17 00:00:00,ICP/USDT,8.12000000,8.72000000,8.09000000,8.62000000,2018635.34000000,16991274.44060000,57055
1652659200000,2022-05-16 00:00:00,ICP/USDT,9.24000000,9.24000000,8.00000000,8.11000000,2475500.45000000,21042764.07760000,70946
1652572800000,2022-05-15 00:00:00,ICP/USDT,8.53000000,9.25000000,8.05000000,9.23000000,2672848.31000000,22983376.47540000,74047
1652486400000,2022-05-14 00:00:00,ICP/USDT,9.30000000,9.47000000,7.65000000,8.54000000,3290672.68000000,27694663.81880000,96776
1652400000000,2022-05-13 00:00:00,ICP/USDT,7.23000000,10.40000000,7.08000000,9.30000000,6842143.17000000,58648410.10040000,175448
1652313600000,2022-05-12 00:00:00,ICP/USDT,7.46000000,8.05000000,6.03000000,7.22000000,7559999.84000000,52407343.35420000,196919
1652227200000,2022-05-11 00:00:00,ICP/USDT,10.56000000,10.85000000,7.01000000,7.45000000,8500220.28000000,77133600.45140000,255993
1652140800000,2022-05-10 00:00:00,ICP/USDT,9.91000000,11.62000000,9.62000000,10.56000000,5780804.23000000,61934958.68080000,168928
1652054400000,2022-05-09 00:00:00,ICP/USDT,11.90000000,12.16000000,9.81000000,9.91000000,5164415.25000000,56344323.05620000,141482
1651968000000,2022-05-08 00:00:00,ICP/USDT,12.06000000,12.31000000,11.69000000,11.90000000,1917819.61000000,22965228.50180000,64160
1651881600000,2022-05-07 00:00:00,ICP/USDT,12.45000000,12.54000000,11.65000000,12.05000000,1413086.58000000,17296305.88180000,51705
1651795200000,2022-05-06 00:00:00,ICP/USDT,12.70000000,12.80000000,12.20000000,12.45000000,1986381.29000000,24819676.66350000,68779
1651708800000,2022-05-05 00:00:00,ICP/USDT,14.28000000,14.60000000,12.23000000,12.71000000,3463053.47000000,45755906.62290000,117352
