unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,LINK/USDT,7.25500000,7.26200000,7.16800000,7.19500000,143787.81000000,1037176.09852000,3822
1658188800000,2022-07-19 00:00:00,LINK/USDT,7.03700000,7.37000000,6.73400000,7.25400000,11657400.23000000,82404411.94676000,251679
1658102400000,2022-07-18 00:00:00,LINK/USDT,6.34700000,7.14900000,6.32900000,7.03700000,10405880.84000000,71169344.83324000,195068
1658016000000,2022-07-17 00:00:00,LINK/USDT,6.59600000,6.71500000,6.32000000,6.34700000,5345851.61000000,34758380.01060000,91998
1657929600000,2022-07-16 00:00:00,LINK/USDT,6.32500000,6.61800000,6.14200000,6.59500000,6864043.49000000,43646748.97339000,109947
1657843200000,2022-07-15 00:00:00,LINK/USDT,6.27500000,6.45700000,6.12100000,6.32500000,9989551.15000000,62808375.36216000,129639
1657756800000,2022-07-14 00:00:00,LINK/USDT,6.17600000,6.38700000,5.99300000,6.27500000,7059352.99000000,43730141.85638000,100014
1657670400000,2022-07-13 00:00:00,LINK/USDT,5.95000000,6.19000000,5.70000000,6.17500000,6781550.56000000,40572266.16831000,78389
1657584000000,2022-07-12 00:00:00,LINK/USDT,6.05000000,6.24000000,5.92000000,5.94000000,3787474.63000000,23175302.14590000,38983
1657497600000,2022-07-11 00:00:00,LINK/USDT,6.20000000,6.43000000,5.98000000,6.04000000,4876457.92000000,30320038.28360000,52381
1657411200000,2022-07-10 00:00:00,LINK/USDT,6.49000000,6.49000000,6.10000000,6.20000000,3373071.93000000,21167272.64310000,32109
1657324800000,2022-07-09 00:00:00,LINK/USDT,6.35000000,6.59000000,6.34000000,6.48000000,2687603.38000000,17366422.53020000,27816
1657238400000,2022-07-08 00:00:00,LINK/USDT,6.64000000,6.84000000,6.33000000,6.36000000,6115037.79000000,39817724.46270000,65034
1657152000000,2022-07-07 00:00:00,LINK/USDT,6.34000000,6.76000000,6.31000000,6.64000000,4475514.81000000,29350846.08990000,48057
1657065600000,2022-07-06 00:00:00,LINK/USDT,6.31000000,6.42000000,6.17000000,6.34000000,3956691.82000000,24890623.67570000,42256
1656979200000,2022-07-05 00:00:00,LINK/USDT,6.43000000,6.56000000,6.06000000,6.31000000,5814668.10000000,36673354.38180000,57311
1656892800000,2022-07-04 00:00:00,LINK/USDT,6.22000000,6.46000000,6.02000000,6.43000000,4520606.05000000,28254559.03320000,42512
1656806400000,2022-07-03 00:00:00,LINK/USDT,6.23000000,6.25000000,6.01000000,6.22000000,2777067.00000000,17024207.56690000,28715
1656720000000,2022-07-02 00:00:00,LINK/USDT,6.07000000,6.29000000,5.98000000,6.22000000,2769828.44000000,16983433.68650000,29970
1656633600000,2022-07-01 00:00:00,LINK/USDT,6.27000000,6.43000000,5.93000000,6.08000000,6544501.16000000,40304067.28100000,64985
