unix,date,symbol,open,high,low,close,Volume MATIC,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,MATIC/USDT,0.92540000,0.92640000,0.90510000,0.90670000,5335209.50000000,4884499.95252000,10193
1658188800000,2022-07-19 00:00:00,MATIC/USDT,0.95870000,0.98000000,0.88320000,0.92550000,259104558.40000000,238807081.12739000,627631
1658102400000,2022-07-18 00:00:00,MATIC/USDT,0.75290000,0.98490000,0.74500000,0.95830000,385575448.90000000,345839133.03676000,883684
1658016000000,2022-07-17 00:00:00,MATIC/USDT,0.72920000,0.79000000,0.71870000,0.75290000,155085808.80000000,118077971.39904000,315931
1657929600000,2022-07-16 00:00:00,MATIC/USDT,0.70340000,0.74430000,0.68250000,0.72920000,129325811.60000000,92480110.23415000,249207
1657843200000,2022-07-15 00:00:00,MATIC/USDT,0.70960000,0.73500000,0.67700000,0.70370000,231240627.90000000,162301427.67107000,453950
1657756800000,2022-07-14 00:00:00,MATIC/USDT,0.63910000,0.71900000,0.61290000,0.70960000,371814316.70000000,243456273.48287000,709188
1657670400000,2022-07-13 00:00:00,MATIC/USDT,0.53620000,0.64540000,0.52030000,0.63890000,254696666.10000000,144699512.72263000,444235
1657584000000,2022-07-12 00:00:00,MATIC/USDT,0.56300000,0.59340000,0.53450000,0.53620000,183829595.00000000,104807125.86082000,342561
1657497600000,2022-07-11 00:00:00,MATIC/USDT,0.57170000,0.59840000,0.53630000,0.56300000,168479902.20000000,95385324.26201000,312769
1657411200000,2022-07-10 00:00:00,MATIC/USDT,0.58990000,0.59020000,0.55260000,0.57170000,85080378.20000000,48608939.47257000,154374
1657324800000,2022-07-09 00:00:00,MATIC/USDT,0.60580000,0.61190000,0.58220000,0.58990000,100052940.60000000,59471019.92621000,178698
1657238400000,2022-07-08 00:00:00,MATIC/USDT,0.56300000,0.61990000,0.55540000,0.60590000,273623248.20000000,159227520.28273000,432974
1657152000000,2022-07-07 00:00:00,MATIC/USDT,0.52560000,0.57300000,0.51130000,0.56280000,185981194.00000000,100966097.79446000,249378
1657065600000,2022-07-06 00:00:00,MATIC/USDT,0.51270000,0.53080000,0.49290000,0.52570000,242883092.80000000,124897854.23826000,303334
1656979200000,2022-07-05 00:00:00,MATIC/USDT,0.49170000,0.53550000,0.48570000,0.51270000,335931980.80000000,171920866.82535000,412806
1656892800000,2022-07-04 00:00:00,MATIC/USDT,0.46210000,0.49530000,0.45130000,0.49180000,166121678.00000000,78184587.05269000,189049
1656806400000,2022-07-03 00:00:00,MATIC/USDT,0.49310000,0.49420000,0.44910000,0.46210000,170900076.30000000,80454806.79457000,200466
1656720000000,2022-07-02 00:00:00,MATIC/USDT,0.46210000,0.49630000,0.44860000,0.49300000,183222500.60000000,85850458.48002000,180390
1656633600000,2022-07-01 00:00:00,MATIC/USDT,0.48080000,0.49820000,0.44960000,0.46210000,296499618.20000000,140719600.79108000,328379
1656547200000,2022-06-30 00:00:00,MATIC/USDT,0.49750000,0.49780000,0.41800000,0.48080000,412893672.10000000,187518199.76218000,431976
1656460800000,2022-06-29 00:00:00,MATIC/USDT,0.51080000,0.54650000,0.48510000,0.49740000,372676557.30000000,192177708.71653000,423546
1656374400000,2022-06-28 00:00:00,MATIC/USDT,0.53200000,0.57500000,0.50400000,0.51070000,227581109.80000000,120823795.51794000,259299
1656288000000,2022-06-27 00:00:00,MATIC/USDT,0.55900000,0.59700000,0.52000000,0.53200000,146468480.20000000,81487665.73570000,142966
1656201600000,2022-06-26 00:00:00,MATIC/USDT,0.60100000,0.62700000,0.55600000,0.55900000,99737778.10000000,59186344.41630000,134298
1656115200000,2022-06-25 00:00:00,MATIC/USDT,0.60700000,0.62700000,0.56600000,0.60100000,130443259.30000000,77921716.47260000,174410
1656028800000,2022-06-24 00:00:00,MATIC/USDT,0.56200000,0.63100000,0.56200000,0.60700000,247314217.90000000,147654377.56110000,283826
1655942400000,2022-06-23 00:00:00,MATIC/USDT,0.45600000,0.57400000,0.45500000,0.56200000,334375172.20000000,171316930.84140000,336961
1655856000000,2022-06-22 00:00:00,MATIC/USDT,0.42000000,0.47200000,0.39400000,0.45500000,156352169.30000000,67666970.48480000,151358
1655769600000,2022-06-21 00:00:00,MATIC/USDT,0.40000000,0.45500000,0.39200000,0.42000000,150058307.50000000,64570144.52780000,128693
1655683200000,2022-06-20 00:00:00,MATIC/USDT,0.38400000,0.41100000,0.35900000,0.40000000,114184332.30000000,44466812.36210000,104544
1655596800000,2022-06-19 00:00:00,MATIC/USDT,0.34600000,0.38500000,0.32700000,0.38400000,112312742.80000000,39550390.27440000,99575
1655510400000,2022-06-18 00:00:00,MATIC/USDT,0.40000000,0.40800000,0.31600000,0.34600000,138954523.70000000,49525769.42038400,119658
1655424000000,2022-06-17 00:00:00,MATIC/USDT,0.38300000,0.40900000,0.37800000,0.39900000,55750718.00000000,22093052.29780000,57913
1655337600000,2022-06-16 00:00:00,MATIC/USDT,0.43900000,0.44600000,0.37500000,0.38400000,97621973.20000000,39353203.47370000,96223
1655251200000,2022-06-15 00:00:00,MATIC/USDT,0.41500000,0.44100000,0.36300000,0.44000000,176633425.20000000,69159792.65274600,182684
1655164800000,2022-06-14 00:00:00,MATIC/USDT,0.43100000,0.45400000,0.39600000,0.41500000,158226148.40000000,67277439.56209900,160756
1655078400000,2022-06-13 00:00:00,MATIC/USDT,0.49600000,0.50400000,0.40400000,0.43000000,197124489.80000000,86655354.78775300,195527
1654992000000,2022-06-12 00:00:00,MATIC/USDT,0.54100000,0.54700000,0.49600000,0.49700000,86742685.90000000,45119047.75237600,99373
1654905600000,2022-06-11 00:00:00,MATIC/USDT,0.59400000,0.60700000,0.53100000,0.54000000,66207911.00000000,37383833.64300000,86128
1654819200000,2022-06-10 00:00:00,MATIC/USDT,0.63400000,0.66300000,0.59000000,0.59400000,84427247.70000000,52795041.73100000,102926
1654732800000,2022-06-09 00:00:00,MATIC/USDT,0.60700000,0.65200000,0.60200000,0.63400000,47864999.00000000,30095235.25720000,65718
1654646400000,2022-06-08 00:00:00,MATIC/USDT,0.61800000,0.63300000,0.60100000,0.60600000,52731186.40000000,32355851.15300000,66320
1654560000000,2022-06-07 00:00:00,MATIC/USDT,0.63200000,0.63400000,0.58300000,0.61700000,61113363.70000000,36929254.35870000,76962
1654473600000,2022-06-06 00:00:00,MATIC/USDT,0.59800000,0.65600000,0.59500000,0.63300000,72763913.40000000,46291459.06500000,88415
1654387200000,2022-06-05 00:00:00,MATIC/USDT,0.59600000,0.60700000,0.58400000,0.59800000,24801520.70000000,14745185.02360000,33077
1654300800000,2022-06-04 00:00:00,MATIC/USDT,0.58900000,0.60100000,0.57600000,0.59600000,22906167.90000000,13534544.87210000,35125
1654214400000,2022-06-03 00:00:00,MATIC/USDT,0.62000000,0.62100000,0.57600000,0.58900000,38172169.40000000,22653419.34940000,52061
1654128000000,2022-06-02 00:00:00,MATIC/USDT,0.60000000,0.62200000,0.59100000,0.62000000,55084190.60000000,33294187.48560000,65391
1654041600000,2022-06-01 00:00:00,MATIC/USDT,0.66200000,0.67100000,0.58500000,0.60000000,92155393.90000000,58036692.66760000,102364
1653955200000,2022-05-31 00:00:00,MATIC/USDT,0.65700000,0.68400000,0.64300000,0.66300000,96486653.00000000,63868709.57460000,114486
