unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,MKR/USDT,1032.00000000,1034.00000000,1021.00000000,1023.00000000,34.04380000,34974.97280000,256
1658188800000,2022-07-19 00:00:00,MKR/USDT,1048.00000000,1069.00000000,995.00000000,1030.00000000,3223.52380000,3340622.46480000,16537
1658102400000,2022-07-18 00:00:00,MKR/USDT,933.00000000,1050.00000000,932.00000000,1049.00000000,3102.78530000,3119836.49810000,14795
1658016000000,2022-07-17 00:00:00,MKR/USDT,965.00000000,972.00000000,927.00000000,930.00000000,1932.89870000,1834438.47820000,8041
1657929600000,2022-07-16 00:00:00,MKR/USDT,910.00000000,976.00000000,887.00000000,963.00000000,2261.37940000,2119842.25880000,8749
1657843200000,2022-07-15 00:00:00,MKR/USDT,892.00000000,942.00000000,879.00000000,911.00000000,2644.41850000,2418878.95090000,9707
1657756800000,2022-07-14 00:00:00,MKR/USDT,856.00000000,902.00000000,819.00000000,891.00000000,3357.19650000,2866497.19980000,10304
1657670400000,2022-07-13 00:00:00,MKR/USDT,826.00000000,864.00000000,794.00000000,856.00000000,3133.10940000,2598148.77570000,13085
1657584000000,2022-07-12 00:00:00,MKR/USDT,867.00000000,880.00000000,822.00000000,824.00000000,2095.39780000,1797647.95640000,9420
1657497600000,2022-07-11 00:00:00,MKR/USDT,941.00000000,947.00000000,861.00000000,867.00000000,2813.81270000,2587743.78800000,11197
1657411200000,2022-07-10 00:00:00,MKR/USDT,997.00000000,1001.00000000,935.00000000,940.00000000,2584.53820000,2499660.94390000,9953
1657324800000,2022-07-09 00:00:00,MKR/USDT,961.00000000,1011.00000000,960.00000000,997.00000000,2369.82160000,2338745.75230000,8244
1657238400000,2022-07-08 00:00:00,MKR/USDT,990.00000000,1009.00000000,952.00000000,962.00000000,3552.69660000,3476083.71140000,13143
1657152000000,2022-07-07 00:00:00,MKR/USDT,997.00000000,1019.00000000,968.00000000,989.00000000,3659.78800000,3620997.27370000,12736
1657065600000,2022-07-06 00:00:00,MKR/USDT,933.00000000,1010.00000000,917.00000000,995.00000000,4321.39280000,4181076.01150000,14770
1656979200000,2022-07-05 00:00:00,MKR/USDT,942.00000000,966.00000000,896.00000000,933.00000000,2819.27830000,2628613.83070000,10922
1656892800000,2022-07-04 00:00:00,MKR/USDT,905.00000000,950.00000000,878.00000000,941.00000000,2108.00210000,1939786.90430000,10034
1656806400000,2022-07-03 00:00:00,MKR/USDT,908.00000000,917.00000000,874.00000000,904.00000000,1331.53420000,1195796.54210000,7253
1656720000000,2022-07-02 00:00:00,MKR/USDT,894.00000000,919.00000000,871.00000000,908.00000000,1660.59830000,1486230.04590000,7117
