unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,NEAR/USDT,4.53300000,4.54500000,4.46200000,4.47500000,421176.60000000,1896148.89540000,4730
1658188800000,2022-07-19 00:00:00,NEAR/USDT,4.06200000,4.66700000,4.00600000,4.53300000,29178130.00000000,128024860.84230000,345716
1658102400000,2022-07-18 00:00:00,NEAR/USDT,3.52400000,4.11700000,3.51600000,4.06200000,19177480.40000000,74720026.71120000,189100
1658016000000,2022-07-17 00:00:00,NEAR/USDT,3.64500000,3.76700000,3.50800000,3.52400000,10095353.60000000,36645719.86530000,90547
1657929600000,2022-07-16 00:00:00,NEAR/USDT,3.50100000,3.67000000,3.37400000,3.64300000,8856448.70000000,31169027.04690000,80400
1657843200000,2022-07-15 00:00:00,NEAR/USDT,3.49000000,3.63800000,3.43300000,3.50200000,9574440.20000000,33746046.36100000,84309
1657756800000,2022-07-14 00:00:00,NEAR/USDT,3.33700000,3.53300000,3.22100000,3.49200000,11316621.60000000,38030469.55000000,92736
1657670400000,2022-07-13 00:00:00,NEAR/USDT,3.18800000,3.34500000,3.03800000,3.33700000,12464940.60000000,39807053.68410000,103799
1657584000000,2022-07-12 00:00:00,NEAR/USDT,3.22500000,3.33900000,3.17900000,3.18800000,7601884.00000000,24831923.22440000,65711
1657497600000,2022-07-11 00:00:00,NEAR/USDT,3.52600000,3.53500000,3.21000000,3.22500000,8830979.10000000,29982347.88230000,84049
1657411200000,2022-07-10 00:00:00,NEAR/USDT,3.79400000,3.82600000,3.50000000,3.52600000,8664632.80000000,31368958.03510000,75951
1657324800000,2022-07-09 00:00:00,NEAR/USDT,3.58700000,3.87900000,3.58600000,3.79300000,11083048.00000000,41650773.89300000,103588
1657238400000,2022-07-08 00:00:00,NEAR/USDT,3.70500000,3.84800000,3.48900000,3.58700000,12564969.40000000,45732192.20490000,108654
1657152000000,2022-07-07 00:00:00,NEAR/USDT,3.50200000,3.77800000,3.43700000,3.70400000,10514327.80000000,37789547.44840000,91309
1657065600000,2022-07-06 00:00:00,NEAR/USDT,3.39300000,3.55000000,3.31200000,3.50100000,11018251.90000000,37871050.71080000,99865
1656979200000,2022-07-05 00:00:00,NEAR/USDT,3.52100000,3.59300000,3.26200000,3.39300000,12061320.80000000,41436311.52130000,107442
1656892800000,2022-07-04 00:00:00,NEAR/USDT,3.32200000,3.55900000,3.21000000,3.52100000,8656935.70000000,29252669.35540000,75355
1656806400000,2022-07-03 00:00:00,NEAR/USDT,3.31300000,3.34900000,3.20200000,3.32300000,6465455.90000000,21198721.74910000,57960
1656720000000,2022-07-02 00:00:00,NEAR/USDT,3.35300000,3.42700000,3.21900000,3.31200000,6117446.20000000,20246446.29480000,59731
1656633600000,2022-07-01 00:00:00,NEAR/USDT,3.33800000,3.45900000,3.23400000,3.35200000,11590819.30000000,38702994.73880000,107977
1656547200000,2022-06-30 00:00:00,NEAR/USDT,3.43000000,3.43800000,3.12500000,3.33800000,11718512.10000000,38037530.16830000,123519
1656460800000,2022-06-29 00:00:00,NEAR/USDT,3.41700000,3.56000000,3.33500000,3.42900000,12442462.70000000,42982849.11500000,123967
1656374400000,2022-06-28 00:00:00,NEAR/USDT,3.73900000,3.78300000,3.39000000,3.41700000,14493380.30000000,52081161.81980000,129093
1656288000000,2022-06-27 00:00:00,NEAR/USDT,3.79200000,4.00700000,3.63200000,3.73900000,12065215.30000000,46282740.86170000,121947
1656201600000,2022-06-26 00:00:00,NEAR/USDT,4.17300000,4.33500000,3.77000000,3.79200000,12425073.70000000,50952027.64560000,146179
1656115200000,2022-06-25 00:00:00,NEAR/USDT,3.99300000,4.40000000,3.93200000,4.17200000,20282391.50000000,84619122.52840000,233468
1656028800000,2022-06-24 00:00:00,NEAR/USDT,3.55400000,4.11300000,3.55400000,3.99300000,17672824.00000000,66599880.70600000,174506
1655942400000,2022-06-23 00:00:00,NEAR/USDT,3.28100000,3.58500000,3.27300000,3.55400000,9639006.10000000,33216769.10200000,103681
1655856000000,2022-06-22 00:00:00,NEAR/USDT,3.51800000,3.52800000,3.26600000,3.28000000,13065671.40000000,44090691.37070000,131029
1655769600000,2022-06-21 00:00:00,NEAR/USDT,3.40900000,3.70500000,3.38400000,3.51800000,15413725.50000000,54802630.61630000,178145
1655683200000,2022-06-20 00:00:00,NEAR/USDT,3.28800000,3.57000000,2.99500000,3.40900000,17212881.40000000,57453710.16520000,183920
1655596800000,2022-06-19 00:00:00,NEAR/USDT,3.09500000,3.34800000,2.97500000,3.28800000,14158024.50000000,44472087.42890000,155572
1655510400000,2022-06-18 00:00:00,NEAR/USDT,3.37500000,3.41200000,2.87500000,3.09500000,15491070.82000000,48269974.33390000,174282
1655424000000,2022-06-17 00:00:00,NEAR/USDT,3.22500000,3.51100000,3.17600000,3.37400000,13202845.40000000,44361655.17240000,143887
1655337600000,2022-06-16 00:00:00,NEAR/USDT,3.81200000,3.83500000,3.13100000,3.22600000,18371781.50000000,62947568.17910000,207192
1655251200000,2022-06-15 00:00:00,NEAR/USDT,3.38300000,3.87500000,3.03800000,3.81300000,25681623.90000000,85100919.53050000,295638
1655164800000,2022-06-14 00:00:00,NEAR/USDT,3.52000000,3.69500000,3.17000000,3.38000000,24170332.20000000,83045782.57610000,303036
1655078400000,2022-06-13 00:00:00,NEAR/USDT,3.69400000,3.73600000,3.08900000,3.51700000,30783549.50000000,103119767.96200000,378127
