unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,NEO/USDT,10.50000000,10.53000000,10.37000000,10.38000000,14040.63000000,146492.25830000,723
1658188800000,2022-07-19 00:00:00,NEO/USDT,10.39000000,10.68000000,9.96000000,10.50000000,647244.57000000,6687966.30150000,33039
1658102400000,2022-07-18 00:00:00,NEO/USDT,9.33000000,10.52000000,9.28000000,10.39000000,730300.55000000,7266874.03310000,34959
1658016000000,2022-07-17 00:00:00,NEO/USDT,9.27000000,9.63000000,9.12000000,9.32000000,402075.32000000,3768880.21640000,18751
1657929600000,2022-07-16 00:00:00,NEO/USDT,8.85000000,9.34000000,8.66000000,9.26000000,462994.93000000,4191112.95000000,18205
1657843200000,2022-07-15 00:00:00,NEO/USDT,8.70000000,9.08000000,8.68000000,8.85000000,393153.29000000,3482816.78880000,17422
1657756800000,2022-07-14 00:00:00,NEO/USDT,8.56000000,8.85000000,8.14000000,8.71000000,611097.55000000,5131857.72530000,22502
1657670400000,2022-07-13 00:00:00,NEO/USDT,8.08000000,8.58000000,7.81000000,8.56000000,515755.89000000,4213460.86330000,21264
1657584000000,2022-07-12 00:00:00,NEO/USDT,8.34000000,8.42000000,8.04000000,8.07000000,314184.86000000,2597089.91450000,14456
1657497600000,2022-07-11 00:00:00,NEO/USDT,9.25000000,9.27000000,8.29000000,8.36000000,314349.37000000,2755519.83430000,13214
1657411200000,2022-07-10 00:00:00,NEO/USDT,9.37000000,9.37000000,8.90000000,9.26000000,253289.30000000,2308858.56200000,11120
1657324800000,2022-07-09 00:00:00,NEO/USDT,9.14000000,9.59000000,9.12000000,9.37000000,311017.76000000,2917798.33800000,13733
1657238400000,2022-07-08 00:00:00,NEO/USDT,9.27000000,9.58000000,9.01000000,9.13000000,400778.45000000,3711709.05220000,23335
1657152000000,2022-07-07 00:00:00,NEO/USDT,8.53000000,9.39000000,8.46000000,9.27000000,520113.90000000,4608239.32160000,23745
1657065600000,2022-07-06 00:00:00,NEO/USDT,8.38000000,8.60000000,8.21000000,8.53000000,282284.75000000,2372086.02300000,12730
1656979200000,2022-07-05 00:00:00,NEO/USDT,8.60000000,8.66000000,8.09000000,8.38000000,483368.92000000,4053219.74520000,18249
1656892800000,2022-07-04 00:00:00,NEO/USDT,8.30000000,8.63000000,8.05000000,8.59000000,365999.04000000,3052185.62740000,13073
1656806400000,2022-07-03 00:00:00,NEO/USDT,8.25000000,8.39000000,8.04000000,8.30000000,320549.75000000,2624856.97720000,10099
1656720000000,2022-07-02 00:00:00,NEO/USDT,8.22000000,8.36000000,8.03000000,8.25000000,286775.43000000,2348119.43130000,10334
1656633600000,2022-07-01 00:00:00,NEO/USDT,8.47000000,8.74000000,8.08000000,8.21000000,571228.84000000,4730646.72810000,19279
1656547200000,2022-06-30 00:00:00,NEO/USDT,8.63000000,8.66000000,7.96000000,8.47000000,474927.49000000,3909340.98480000,20923
1656460800000,2022-06-29 00:00:00,NEO/USDT,8.94000000,9.04000000,8.47000000,8.63000000,578144.66000000,5036381.33980000,25522
1656374400000,2022-06-28 00:00:00,NEO/USDT,9.51000000,9.66000000,8.88000000,8.93000000,377236.10000000,3517106.90250000,16260
1656288000000,2022-06-27 00:00:00,NEO/USDT,9.48000000,9.92000000,9.38000000,9.50000000,374583.37000000,3597972.16840000,16074
1656201600000,2022-06-26 00:00:00,NEO/USDT,9.73000000,10.20000000,9.45000000,9.49000000,422090.36000000,4161570.96130000,21343
1656115200000,2022-06-25 00:00:00,NEO/USDT,9.65000000,9.91000000,9.27000000,9.74000000,352635.23000000,3396882.31760000,15844
1656028800000,2022-06-24 00:00:00,NEO/USDT,9.30000000,9.81000000,9.29000000,9.65000000,410988.65000000,3915767.99840000,21821
1655942400000,2022-06-23 00:00:00,NEO/USDT,8.89000000,9.39000000,8.87000000,9.31000000,385421.50000000,3541256.03190000,17668
1655856000000,2022-06-22 00:00:00,NEO/USDT,9.22000000,9.27000000,8.78000000,8.88000000,452136.42000000,4065163.81760000,19947
1655769600000,2022-06-21 00:00:00,NEO/USDT,9.14000000,9.70000000,9.01000000,9.22000000,541554.99000000,5061292.91330000,26959
1655683200000,2022-06-20 00:00:00,NEO/USDT,9.08000000,9.45000000,8.69000000,9.15000000,579631.55000000,5285363.50010000,26441
1655596800000,2022-06-19 00:00:00,NEO/USDT,8.52000000,9.19000000,8.15000000,9.08000000,687757.85000000,5967349.60480000,26768
1655510400000,2022-06-18 00:00:00,NEO/USDT,9.06000000,9.21000000,7.94000000,8.52000000,851290.15000000,7222620.51741400,34177
1655424000000,2022-06-17 00:00:00,NEO/USDT,8.83000000,9.32000000,8.77000000,9.05000000,427179.74000000,3885125.16700000,20080
1655337600000,2022-06-16 00:00:00,NEO/USDT,10.00000000,10.19000000,8.68000000,8.84000000,875997.74000000,8172179.94870000,41575
1655251200000,2022-06-15 00:00:00,NEO/USDT,9.69000000,10.02000000,8.43000000,10.00000000,1995351.56000000,18185359.69170000,83897
1655164800000,2022-06-14 00:00:00,NEO/USDT,9.85000000,9.99000000,8.96000000,9.70000000,1414799.01000000,13566471.55670000,59668
1655078400000,2022-06-13 00:00:00,NEO/USDT,11.62000000,12.27000000,9.39000000,9.85000000,3345701.91000000,35037496.26650000,128807
1654992000000,2022-06-12 00:00:00,NEO/USDT,10.95000000,13.34000000,10.05000000,11.63000000,3513751.28000000,41693999.74210000,147071
1654905600000,2022-06-11 00:00:00,NEO/USDT,11.43000000,11.71000000,10.50000000,10.94000000,674690.65000000,7484997.82910000,29972
