unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,SHIB/USDT,0.00001216,0.00001221,0.00001205,0.00001209,98730187691.00,1196867.16075785,2625
1658188800000,2022-07-19 00:00:00,SHIB/USDT,0.00001196,0.00001249,0.00001141,0.00001217,9980072259689.00,119677103.32041727,252184
1658102400000,2022-07-18 00:00:00,SHIB/USDT,0.00001072,0.00001262,0.00001071,0.00001196,10934357526398.00,127732645.33740697,287486
1658016000000,2022-07-17 00:00:00,SHIB/USDT,0.00001103,0.00001117,0.00001068,0.00001073,3096665355435.00,33870124.43578212,80058
1657929600000,2022-07-16 00:00:00,SHIB/USDT,0.00001083,0.00001120,0.00001052,0.00001103,3372061751772.00,36704434.28492655,89026
1657843200000,2022-07-15 00:00:00,SHIB/USDT,0.00001060,0.00001119,0.00001049,0.00001083,4944364894810.00,53746895.26642482,115852
1657756800000,2022-07-14 00:00:00,SHIB/USDT,0.00001053,0.00001071,0.00001014,0.00001060,4276976917062.00,44663723.06592541,94568
1657670400000,2022-07-13 00:00:00,SHIB/USDT,0.00000991,0.00001056,0.00000977,0.00001054,5637196050277.00,57248424.62433757,125930
1657584000000,2022-07-12 00:00:00,SHIB/USDT,0.00001032,0.00001057,0.00000987,0.00000991,3867951872446.00,39751277.06542835,94186
1657497600000,2022-07-11 00:00:00,SHIB/USDT,0.00001121,0.00001122,0.00001020,0.00001031,4853655846719.00,52531048.94964249,104801
1657411200000,2022-07-10 00:00:00,SHIB/USDT,0.00001162,0.00001167,0.00001093,0.00001122,4424164709746.00,49754675.61843743,101045
1657324800000,2022-07-09 00:00:00,SHIB/USDT,0.00001120,0.00001190,0.00001102,0.00001162,5494678509631.00,63157218.58618115,122767
1657238400000,2022-07-08 00:00:00,SHIB/USDT,0.00001127,0.00001160,0.00001070,0.00001119,8836563870103.00,98856490.97855588,187132
1657152000000,2022-07-07 00:00:00,SHIB/USDT,0.00001046,0.00001150,0.00001043,0.00001127,6101161867576.00,66336390.11035796,136885
1657065600000,2022-07-06 00:00:00,SHIB/USDT,0.00001033,0.00001055,0.00001016,0.00001047,4069721516456.00,42278026.11202798,92694
1656979200000,2022-07-05 00:00:00,SHIB/USDT,0.00001048,0.00001099,0.00001000,0.00001033,6604401878401.00,68995620.64154908,145519
1656892800000,2022-07-04 00:00:00,SHIB/USDT,0.00001004,0.00001057,0.00000993,0.00001047,3727388343274.00,38129288.48764053,97432
1656806400000,2022-07-03 00:00:00,SHIB/USDT,0.00001008,0.00001014,0.00000976,0.00001003,2321695306208.00,23199246.72155229,67493
1656720000000,2022-07-02 00:00:00,SHIB/USDT,0.00001003,0.00001020,0.00000987,0.00001007,2413180157432.00,24264584.34527112,68717
1656633600000,2022-07-01 00:00:00,SHIB/USDT,0.00001035,0.00001061,0.00000991,0.00001003,6793666279138.00,69046196.48016196,148093
1656547200000,2022-06-30 00:00:00,SHIB/USDT,0.00001021,0.00001050,0.00000962,0.00001035,9667010710656.00,97116595.83240083,228682
1656460800000,2022-06-29 00:00:00,SHIB/USDT,0.00000998,0.00001074,0.00000953,0.00001021,9314619019288.00,93442405.98132161,207982
1656374400000,2022-06-28 00:00:00,SHIB/USDT,0.00001107,0.00001120,0.00000985,0.00000998,7213777629443.00,76650216.34129472,171537
