unix,date,symbol,open,high,low,close,Volume STX,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,STX/USDT,0.44800000,0.48300000,0.44600000,0.48100000,744102.70000000,345439.60540000,1237
1658188800000,2022-07-19 00:00:00,STX/USDT,0.42500000,0.45500000,0.40900000,0.44700000,4887769.90000000,2096144.78450000,5610
1658102400000,2022-07-18 00:00:00,STX/USDT,0.38600000,0.42900000,0.38500000,0.42500000,3333817.70000000,1364144.34740000,4426
1658016000000,2022-07-17 00:00:00,STX/USDT,0.39500000,0.39800000,0.38400000,0.38600000,2061005.00000000,804541.95920000,2278
1657929600000,2022-07-16 00:00:00,STX/USDT,0.38400000,0.39600000,0.37500000,0.39600000,2525837.80000000,975974.89610000,3976
1657843200000,2022-07-15 00:00:00,STX/USDT,0.38000000,0.38600000,0.37500000,0.38400000,2889951.20000000,1101292.33220000,4251
1657756800000,2022-07-14 00:00:00,STX/USDT,0.37800000,0.38100000,0.35700000,0.38000000,3587731.10000000,1322534.77750000,4757
1657670400000,2022-07-13 00:00:00,STX/USDT,0.36000000,0.37900000,0.34600000,0.37700000,5636212.50000000,2037702.58880000,7332
1657584000000,2022-07-12 00:00:00,STX/USDT,0.37500000,0.38000000,0.36000000,0.36000000,2490847.30000000,919688.42240000,4100
1657497600000,2022-07-11 00:00:00,STX/USDT,0.40600000,0.40900000,0.37300000,0.37500000,2670043.70000000,1032658.89670000,5256
1657411200000,2022-07-10 00:00:00,STX/USDT,0.41500000,0.43300000,0.40000000,0.40500000,3600182.80000000,1493244.69670000,6286
1657324800000,2022-07-09 00:00:00,STX/USDT,0.40600000,0.42400000,0.40200000,0.41400000,2317952.10000000,954167.05150000,4438
1657238400000,2022-07-08 00:00:00,STX/USDT,0.41000000,0.41900000,0.39800000,0.40600000,2147406.80000000,872852.24810000,5901
1657152000000,2022-07-07 00:00:00,STX/USDT,0.39800000,0.41300000,0.38900000,0.41100000,1952911.50000000,781271.21710000,4983
1657065600000,2022-07-06 00:00:00,STX/USDT,0.39900000,0.40100000,0.38800000,0.39800000,3680591.40000000,1447518.27180000,5792
1656979200000,2022-07-05 00:00:00,STX/USDT,0.39500000,0.41800000,0.38500000,0.39900000,4104082.10000000,1638739.51400000,8049
1656892800000,2022-07-04 00:00:00,STX/USDT,0.38500000,0.39600000,0.36800000,0.39300000,2221793.10000000,848344.64130000,4717
1656806400000,2022-07-03 00:00:00,STX/USDT,0.38600000,0.38900000,0.37600000,0.38400000,1253296.70000000,479528.32190000,4208
1656720000000,2022-07-02 00:00:00,STX/USDT,0.38900000,0.40200000,0.37600000,0.38600000,2576325.00000000,998865.84050000,6633
1656633600000,2022-07-01 00:00:00,STX/USDT,0.41000000,0.41500000,0.38200000,0.38800000,3227366.30000000,1273242.42500000,7531
