unix,date,symbol,open,high,low,close,Volume TRX,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,TRX/USDT,0.06910000,0.06918000,0.06869000,0.06881000,12903857.20000000,889631.52501100,2277
1658188800000,2022-07-19 00:00:00,TRX/USDT,0.06881000,0.06985000,0.06763000,0.06909000,934246092.50000000,64124379.17234700,167257
1658102400000,2022-07-18 00:00:00,TRX/USDT,0.06746000,0.07079000,0.06726000,0.06882000,998303770.50000000,69069838.49699700,164468
1658016000000,2022-07-17 00:00:00,TRX/USDT,0.06895000,0.06937000,0.06731000,0.06744000,558371408.10000000,38190914.45050900,98446
1657929600000,2022-07-16 00:00:00,TRX/USDT,0.06702000,0.06944000,0.06609000,0.06895000,568718459.30000000,38514163.84903700,106616
1657843200000,2022-07-15 00:00:00,TRX/USDT,0.06678000,0.06799000,0.06650000,0.06703000,530211689.40000000,35643233.69829300,90843
1657756800000,2022-07-14 00:00:00,TRX/USDT,0.06625000,0.06756000,0.06497000,0.06679000,658783694.80000000,43567995.21099000,104696
1657670400000,2022-07-13 00:00:00,TRX/USDT,0.06460000,0.06649000,0.06365000,0.06624000,823561098.40000000,53527167.69759100,142998
1657584000000,2022-07-12 00:00:00,TRX/USDT,0.06475000,0.06577000,0.06441000,0.06461000,547014780.90000000,35595718.85730900,101742
1657497600000,2022-07-11 00:00:00,TRX/USDT,0.06764000,0.06775000,0.06451000,0.06475000,568957000.60000000,37553791.91243600,114876
1657411200000,2022-07-10 00:00:00,TRX/USDT,0.06980000,0.07009000,0.06722000,0.06763000,469939685.90000000,32113314.11055000,86521
1657324800000,2022-07-09 00:00:00,TRX/USDT,0.06901000,0.07153000,0.06894000,0.06980000,486037198.80000000,34188475.37587900,110973
1657238400000,2022-07-08 00:00:00,TRX/USDT,0.06862000,0.06982000,0.06764000,0.06902000,669951091.70000000,46095394.23782900,133303
1657152000000,2022-07-07 00:00:00,TRX/USDT,0.06756000,0.06887000,0.06615000,0.06862000,610737345.70000000,41254672.52539000,125670
1657065600000,2022-07-06 00:00:00,TRX/USDT,0.06815000,0.06863000,0.06673000,0.06755000,580267106.10000000,39266751.72494400,112181
1656979200000,2022-07-05 00:00:00,TRX/USDT,0.06733000,0.06978000,0.06657000,0.06814000,795637845.90000000,54012688.63923300,150434
1656892800000,2022-07-04 00:00:00,TRX/USDT,0.06629000,0.06769000,0.06547000,0.06733000,703363294.00000000,46859094.79505500,146406
1656806400000,2022-07-03 00:00:00,TRX/USDT,0.06475000,0.06646000,0.06250000,0.06628000,693832099.70000000,44558650.55475900,128135
1656720000000,2022-07-02 00:00:00,TRX/USDT,0.06511000,0.06549000,0.06433000,0.06475000,414634750.80000000,26945489.55374700,86764
1656633600000,2022-07-01 00:00:00,TRX/USDT,0.06481000,0.06675000,0.06415000,0.06512000,975193971.10000000,63558550.66318700,162677
1656547200000,2022-06-30 00:00:00,TRX/USDT,0.06492000,0.06598000,0.06192000,0.06481000,1017188583.20000000,64881618.88066200,156491
1656460800000,2022-06-29 00:00:00,TRX/USDT,0.06591000,0.06663000,0.06407000,0.06492000,753763109.10000000,49238255.47778100,132498
1656374400000,2022-06-28 00:00:00,TRX/USDT,0.06703000,0.06833000,0.06518000,0.06591000,1165858010.90000000,77994221.00852900,195258
1656288000000,2022-06-27 00:00:00,TRX/USDT,0.06503000,0.07046000,0.06490000,0.06703000,1274750340.00000000,86909969.11168700,234579
1656201600000,2022-06-26 00:00:00,TRX/USDT,0.06480000,0.06589000,0.06402000,0.06504000,521220595.70000000,33858079.93980500,110291
1656115200000,2022-06-25 00:00:00,TRX/USDT,0.06585000,0.06634000,0.06362000,0.06480000,511708770.70000000,33269284.84940200,118424
1656028800000,2022-06-24 00:00:00,TRX/USDT,0.06379000,0.06673000,0.06359000,0.06584000,807600205.10000000,52557716.76737500,166412
1655942400000,2022-06-23 00:00:00,TRX/USDT,0.06310000,0.06464000,0.06181000,0.06380000,753541050.10000000,47757217.88473900,152683
1655856000000,2022-06-22 00:00:00,TRX/USDT,0.06492000,0.06581000,0.06298000,0.06310000,866297508.10000000,55692873.24504100,151494
1655769600000,2022-06-21 00:00:00,TRX/USDT,0.06114000,0.06686000,0.06096000,0.06490000,1389203721.20000000,89156229.06998700,271858
1655683200000,2022-06-20 00:00:00,TRX/USDT,0.06132000,0.06220000,0.05946000,0.06115000,1159427437.70000000,70468133.23168500,184454
1655596800000,2022-06-19 00:00:00,TRX/USDT,0.06088000,0.06298000,0.05851000,0.06132000,1926957261.50000000,117137523.07877700,296850
1655510400000,2022-06-18 00:00:00,TRX/USDT,0.05990000,0.06386000,0.05707000,0.06089000,2550576099.00000000,153497013.59222800,365272
1655424000000,2022-06-17 00:00:00,TRX/USDT,0.05924000,0.06333000,0.05869000,0.05989000,1779763012.80000000,107808246.03141000,242786
1655337600000,2022-06-16 00:00:00,TRX/USDT,0.06302000,0.06577000,0.05830000,0.05923000,2764331231.60000000,169162516.84547300,376836
1655251200000,2022-06-15 00:00:00,TRX/USDT,0.05560000,0.06400000,0.04664000,0.06302000,8499088551.40000000,461706798.56238600,1189317
1655164800000,2022-06-14 00:00:00,TRX/USDT,0.06386000,0.06488000,0.05223000,0.05559000,5413746170.80000000,315920450.27481700,746931
1655078400000,2022-06-13 00:00:00,TRX/USDT,0.07617000,0.07674000,0.06060000,0.06387000,5877608440.40000000,384325362.80487200,808858
1654992000000,2022-06-12 00:00:00,TRX/USDT,0.07621000,0.07885000,0.07411000,0.07618000,1553234434.20000000,118723111.57638000,231867
1654905600000,2022-06-11 00:00:00,TRX/USDT,0.07893000,0.08035000,0.07469000,0.07620000,1042816900.90000000,80766325.71453000,179081
1654819200000,2022-06-10 00:00:00,TRX/USDT,0.08101000,0.08161000,0.07883000,0.07893000,806983631.20000000,64757372.61021300,131924
1654732800000,2022-06-09 00:00:00,TRX/USDT,0.08062000,0.08196000,0.08006000,0.08102000,572935739.90000000,46448037.41214200,103855
1654646400000,2022-06-08 00:00:00,TRX/USDT,0.08186000,0.08266000,0.07958000,0.08062000,822334791.20000000,66493809.04436600,152765
1654560000000,2022-06-07 00:00:00,TRX/USDT,0.08160000,0.08311000,0.07887000,0.08186000,1122439214.30000000,90812528.27835000,195533
1654473600000,2022-06-06 00:00:00,TRX/USDT,0.08151000,0.08486000,0.08109000,0.08161000,903182552.70000000,74972936.40060900,187709
1654387200000,2022-06-05 00:00:00,TRX/USDT,0.08043000,0.08265000,0.07918000,0.08151000,674949351.80000000,54657390.95180800,124692
1654300800000,2022-06-04 00:00:00,TRX/USDT,0.08112000,0.08134000,0.07627000,0.08043000,1476276604.60000000,116665192.95391000,237480
1654214400000,2022-06-03 00:00:00,TRX/USDT,0.08432000,0.08645000,0.08034000,0.08110000,1149189440.40000000,95049868.38226300,215376
1654128000000,2022-06-02 00:00:00,TRX/USDT,0.08356000,0.08570000,0.08110000,0.08432000,1529250436.30000000,127351665.77864000,278971
1654041600000,2022-06-01 00:00:00,TRX/USDT,0.08441000,0.09222000,0.08209000,0.08356000,3151794233.70000000,274793907.90078200,589620
1653955200000,2022-05-31 00:00:00,TRX/USDT,0.08324000,0.08453000,0.07933000,0.08441000,1489663603.00000000,121109687.35457900,252868
1653868800000,2022-05-30 00:00:00,TRX/USDT,0.08054000,0.08440000,0.08016000,0.08325000,1214901677.10000000,100506045.40112900,227408
1653782400000,2022-05-29 00:00:00,TRX/USDT,0.08117000,0.08233000,0.07813000,0.08055000,836187351.90000000,67403911.60791500,175248
1653696000000,2022-05-28 00:00:00,TRX/USDT,0.08083000,0.08273000,0.07899000,0.08118000,915885334.40000000,74226144.59549700,191423
1653609600000,2022-05-27 00:00:00,TRX/USDT,0.08224000,0.08402000,0.07835000,0.08083000,2092463683.80000000,168891737.73741000,368246
1653523200000,2022-05-26 00:00:00,TRX/USDT,0.08470000,0.08656000,0.07881000,0.08223000,2965533838.90000000,245607591.12024900,507456
