unix,date,symbol,open,high,low,close,Volume TUSD,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99990000,0.99990000,135773.00000000,135759.87340000,276
1658188800000,2022-07-19 00:00:00,TUSD/USDT,1.00030000,1.00030000,0.99980000,0.99990000,18876923.00000000,18877475.27350000,31049
1658102400000,2022-07-18 00:00:00,TUSD/USDT,1.00040000,1.00040000,1.00000000,1.00030000,16758972.00000000,16762360.16860000,24923
1658016000000,2022-07-17 00:00:00,TUSD/USDT,1.00030000,1.00040000,1.00010000,1.00040000,8739178.00000000,8741487.02200000,7981
1657929600000,2022-07-16 00:00:00,TUSD/USDT,1.00030000,1.00040000,1.00020000,1.00030000,7447578.00000000,7449877.11660000,9374
1657843200000,2022-07-15 00:00:00,TUSD/USDT,1.00060000,1.00070000,1.00030000,1.00040000,7919449.00000000,7923482.55600000,10632
1657756800000,2022-07-14 00:00:00,TUSD/USDT,1.00080000,1.00090000,1.00060000,1.00070000,11643194.00000000,11651735.37160000,16672
1657670400000,2022-07-13 00:00:00,TUSD/USDT,1.00100000,1.00110000,1.00080000,1.00080000,8002329.00000000,8009660.08460000,12130
1657584000000,2022-07-12 00:00:00,TUSD/USDT,1.00090000,1.00110000,1.00080000,1.00100000,9766408.00000000,9775969.98320000,12953
1657497600000,2022-07-11 00:00:00,TUSD/USDT,1.00070000,1.00110000,1.00060000,1.00090000,10316949.00000000,10325236.23670000,9190
1657411200000,2022-07-10 00:00:00,TUSD/USDT,1.00060000,1.00070000,1.00050000,1.00070000,4410337.00000000,4413054.25870000,7408
1657324800000,2022-07-09 00:00:00,TUSD/USDT,1.00070000,1.00070000,1.00050000,1.00050000,3712197.00000000,3714520.99530000,6386
1657238400000,2022-07-08 00:00:00,TUSD/USDT,1.00060000,1.00080000,1.00050000,1.00060000,11365939.00000000,11373587.45900000,15476
1657152000000,2022-07-07 00:00:00,TUSD/USDT,1.00110000,1.00110000,1.00050000,1.00060000,13169812.00000000,13181174.63740000,11877
1657065600000,2022-07-06 00:00:00,TUSD/USDT,1.00110000,1.00120000,1.00100000,1.00110000,7465587.00000000,7473712.36580000,9666
1656979200000,2022-07-05 00:00:00,TUSD/USDT,1.00120000,1.00130000,1.00100000,1.00110000,17264913.00000000,17284359.03730000,24019
1656892800000,2022-07-04 00:00:00,TUSD/USDT,1.00120000,1.00130000,1.00110000,1.00120000,9524411.00000000,9535469.01480000,15030
1656806400000,2022-07-03 00:00:00,TUSD/USDT,1.00130000,1.00130000,1.00110000,1.00120000,5885966.00000000,5893035.95730000,7126
1656720000000,2022-07-02 00:00:00,TUSD/USDT,1.00120000,1.00130000,1.00120000,1.00130000,3055704.00000000,3059540.26430000,4043
1656633600000,2022-07-01 00:00:00,TUSD/USDT,1.00130000,1.00140000,1.00110000,1.00130000,13769743.00000000,13787504.25550000,15439
1656547200000,2022-06-30 00:00:00,TUSD/USDT,1.00120000,1.00140000,1.00110000,1.00140000,15787072.00000000,15807146.79590000,17950
1656460800000,2022-06-29 00:00:00,TUSD/USDT,1.00130000,1.00160000,1.00120000,1.00120000,17829132.00000000,17853072.76380000,13669
1656374400000,2022-06-28 00:00:00,TUSD/USDT,1.00100000,1.00160000,1.00100000,1.00130000,11898146.00000000,11912567.14930000,12471
1656288000000,2022-06-27 00:00:00,TUSD/USDT,1.00060000,1.00110000,1.00060000,1.00110000,11701247.00000000,11710929.56130000,10604
1656201600000,2022-06-26 00:00:00,TUSD/USDT,1.00070000,1.00080000,1.00060000,1.00070000,3099294.00000000,3101416.96430000,3248
1656115200000,2022-06-25 00:00:00,TUSD/USDT,1.00080000,1.00090000,1.00060000,1.00060000,5027598.00000000,5031377.55280000,3927
1656028800000,2022-06-24 00:00:00,TUSD/USDT,1.00100000,1.00100000,1.00070000,1.00090000,6183979.00000000,6189242.65460000,4381
1655942400000,2022-06-23 00:00:00,TUSD/USDT,1.00120000,1.00120000,1.00090000,1.00100000,4381985.00000000,4386374.21940000,5417
1655856000000,2022-06-22 00:00:00,TUSD/USDT,1.00100000,1.00120000,1.00100000,1.00120000,4694668.00000000,4699906.35300000,5470
1655769600000,2022-06-21 00:00:00,TUSD/USDT,1.00120000,1.00130000,1.00100000,1.00100000,8385057.00000000,8394728.79300000,9133
1655683200000,2022-06-20 00:00:00,TUSD/USDT,1.00130000,1.00150000,1.00110000,1.00120000,15116635.00000000,15136774.45370000,15958
1655596800000,2022-06-19 00:00:00,TUSD/USDT,1.00160000,1.00170000,1.00130000,1.00130000,10982604.00000000,10998728.25160000,13753
1655510400000,2022-06-18 00:00:00,TUSD/USDT,1.00130000,1.00260000,1.00120000,1.00160000,31351793.00000000,31396969.83230000,29790
1655424000000,2022-06-17 00:00:00,TUSD/USDT,1.00140000,1.00150000,1.00120000,1.00140000,19473946.00000000,19500296.84590000,13887
1655337600000,2022-06-16 00:00:00,TUSD/USDT,1.00120000,1.00150000,1.00110000,1.00140000,31362577.00000000,31402928.32510000,39628
1655251200000,2022-06-15 00:00:00,TUSD/USDT,1.00130000,1.00210000,1.00110000,1.00120000,57604061.00000000,57693692.70910000,64049
