unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,UNI/USDT,7.35000000,7.36000000,7.24000000,7.25000000,54205.57000000,395423.14550000,1034
1658188800000,2022-07-19 00:00:00,UNI/USDT,7.33000000,7.76000000,7.21000000,7.35000000,6058507.79000000,45218062.27360000,102219
1658102400000,2022-07-18 00:00:00,UNI/USDT,6.95000000,7.46000000,6.92000000,7.33000000,4645472.95000000,33610628.78840000,73997
1658016000000,2022-07-17 00:00:00,UNI/USDT,7.38000000,7.48000000,6.89000000,6.94000000,2752228.05000000,19558498.06940000,46838
1657929600000,2022-07-16 00:00:00,UNI/USDT,6.79000000,7.70000000,6.67000000,7.38000000,4888161.58000000,34888490.02880000,80577
1657843200000,2022-07-15 00:00:00,UNI/USDT,7.02000000,7.26000000,6.72000000,6.78000000,4718959.43000000,32964469.60660000,76462
1657756800000,2022-07-14 00:00:00,UNI/USDT,6.12000000,7.11000000,6.02000000,7.02000000,12068688.69000000,76873609.16010000,155069
1657670400000,2022-07-13 00:00:00,UNI/USDT,5.54000000,6.27000000,5.24000000,6.12000000,6448203.92000000,36391158.38110000,74885
1657584000000,2022-07-12 00:00:00,UNI/USDT,5.57000000,5.89000000,5.45000000,5.54000000,6679031.05000000,37585573.96920000,70137
1657497600000,2022-07-11 00:00:00,UNI/USDT,6.24000000,6.28000000,5.23000000,5.57000000,5746929.26000000,33536490.34560000,87463
1657411200000,2022-07-10 00:00:00,UNI/USDT,6.46000000,6.48000000,5.98000000,6.23000000,3500367.63000000,21812711.37300000,50084
1657324800000,2022-07-09 00:00:00,UNI/USDT,5.80000000,6.62000000,5.80000000,6.46000000,3944641.16000000,24634917.67980000,64334
1657238400000,2022-07-08 00:00:00,UNI/USDT,5.73000000,5.97000000,5.52000000,5.80000000,3246478.20000000,18676601.46710000,43932
1657152000000,2022-07-07 00:00:00,UNI/USDT,5.36000000,5.83000000,5.29000000,5.73000000,2522250.62000000,13989982.93640000,37762
1657065600000,2022-07-06 00:00:00,UNI/USDT,5.31000000,5.50000000,5.19000000,5.35000000,3384862.08000000,18066156.50010000,38351
1656979200000,2022-07-05 00:00:00,UNI/USDT,5.35000000,5.45000000,5.01000000,5.30000000,3012580.50000000,15836232.26900000,37368
1656892800000,2022-07-04 00:00:00,UNI/USDT,4.92000000,5.36000000,4.73000000,5.35000000,2282415.88000000,11398308.70460000,32346
1656806400000,2022-07-03 00:00:00,UNI/USDT,4.92000000,4.96000000,4.72000000,4.91000000,1954557.14000000,9505357.98960000,23480
1656720000000,2022-07-02 00:00:00,UNI/USDT,4.86000000,5.09000000,4.72000000,4.92000000,2773018.71000000,13518130.44080000,28377
1656633600000,2022-07-01 00:00:00,UNI/USDT,5.01000000,5.13000000,4.74000000,4.86000000,3790068.99000000,18748202.58030000,41742
1656547200000,2022-06-30 00:00:00,UNI/USDT,5.12000000,5.15000000,4.60000000,5.00000000,5100727.33000000,24734627.64850000,54334
1656460800000,2022-06-29 00:00:00,UNI/USDT,4.93000000,5.26000000,4.78000000,5.11000000,4408158.23000000,22036785.31510000,51096
1656374400000,2022-06-28 00:00:00,UNI/USDT,5.34000000,5.49000000,4.86000000,4.92000000,3338083.21000000,17379103.26360000,42558
1656288000000,2022-06-27 00:00:00,UNI/USDT,5.60000000,5.93000000,5.27000000,5.33000000,3881305.15000000,21666465.09520000,46471
1656201600000,2022-06-26 00:00:00,UNI/USDT,5.62000000,6.08000000,5.47000000,5.60000000,3795149.93000000,21697828.00620000,57175
1656115200000,2022-06-25 00:00:00,UNI/USDT,5.47000000,5.77000000,5.24000000,5.62000000,2761812.50000000,15113299.94800000,41817
1656028800000,2022-06-24 00:00:00,UNI/USDT,5.63000000,5.80000000,5.35000000,5.47000000,4699338.84000000,26172866.05730000,59145
1655942400000,2022-06-23 00:00:00,UNI/USDT,4.99000000,5.69000000,4.96000000,5.62000000,6511782.97000000,34880312.23990000,72333
1655856000000,2022-06-22 00:00:00,UNI/USDT,4.78000000,5.37000000,4.56000000,4.98000000,9486178.31000000,46729215.35260000,97208
1655769600000,2022-06-21 00:00:00,UNI/USDT,4.30000000,5.21000000,4.22000000,4.77000000,5883772.19000000,27858172.72320000,71114
1655683200000,2022-06-20 00:00:00,UNI/USDT,4.20000000,4.40000000,3.98000000,4.29000000,4592702.26000000,19106073.74440000,40076
1655596800000,2022-06-19 00:00:00,UNI/USDT,3.65000000,4.27000000,3.49000000,4.19000000,3544123.62000000,13690915.34870000,39678
1655510400000,2022-06-18 00:00:00,UNI/USDT,3.94000000,4.09000000,3.33000000,3.64000000,3885227.55000000,14303384.74240000,44957
1655424000000,2022-06-17 00:00:00,UNI/USDT,3.84000000,4.01000000,3.79000000,3.93000000,1993568.78000000,7804350.03550000,24340
1655337600000,2022-06-16 00:00:00,UNI/USDT,4.43000000,4.47000000,3.75000000,3.83000000,4771731.28000000,19403634.70930000,48328
1655251200000,2022-06-15 00:00:00,UNI/USDT,3.87000000,4.43000000,3.39000000,4.42000000,6369871.19000000,24314598.05980000,72351
1655164800000,2022-06-14 00:00:00,UNI/USDT,3.68000000,3.93000000,3.35000000,3.86000000,4168211.00100000,15302623.58375800,44538
1655078400000,2022-06-13 00:00:00,UNI/USDT,4.07000000,4.14000000,3.45000000,3.66000000,6519155.23900000,24228325.50823000,66783
1654992000000,2022-06-12 00:00:00,UNI/USDT,4.39000000,4.48000000,4.05000000,4.06000000,2323564.16000000,9839049.31170000,27325
1654905600000,2022-06-11 00:00:00,UNI/USDT,4.82000000,4.97000000,4.33000000,4.39000000,2353190.48000000,11063887.00100000,27880
1654819200000,2022-06-10 00:00:00,UNI/USDT,5.21000000,5.23000000,4.76000000,4.81000000,1581466.82000000,7900421.60360000,24043
1654732800000,2022-06-09 00:00:00,UNI/USDT,5.09000000,5.36000000,5.02000000,5.20000000,853487.87000000,4438916.71540000,15929
1654646400000,2022-06-08 00:00:00,UNI/USDT,5.22000000,5.33000000,5.03000000,5.09000000,2123447.57000000,10945068.54260000,24993
1654560000000,2022-06-07 00:00:00,UNI/USDT,5.38000000,5.42000000,4.93000000,5.22000000,3231580.55000000,16600092.54640000,38986
1654473600000,2022-06-06 00:00:00,UNI/USDT,5.10000000,5.42000000,5.09000000,5.37000000,1867925.83000000,9917813.16940000,23015
1654387200000,2022-06-05 00:00:00,UNI/USDT,5.13000000,5.23000000,4.91000000,5.09000000,1087831.95000000,5518427.60160000,16942
