unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,3479636.00000000,3479542.81500000,1283
1658188800000,2022-07-19 00:00:00,USDC/USDT,1.00020000,1.00040000,0.99970000,0.99990000,591218641.00000000,591268481.22550000,114070
1658102400000,2022-07-18 00:00:00,USDC/USDT,1.00030000,1.00060000,1.00000000,1.00030000,1073247339.00000000,1073502160.26150000,78075
1658016000000,2022-07-17 00:00:00,USDC/USDT,1.00020000,1.00050000,1.00000000,1.00040000,592489008.00000000,592679984.30060000,51878
1657929600000,2022-07-16 00:00:00,USDC/USDT,1.00030000,1.00040000,1.00000000,1.00020000,266885646.00000000,266953419.20800000,55417
1657843200000,2022-07-15 00:00:00,USDC/USDT,1.00080000,1.00080000,1.00030000,1.00030000,278067152.00000000,278211989.40360000,61850
1657756800000,2022-07-14 00:00:00,USDC/USDT,1.00080000,1.00090000,1.00060000,1.00080000,237826454.00000000,238002000.88990000,86797
1657670400000,2022-07-13 00:00:00,USDC/USDT,1.00100000,1.00110000,1.00080000,1.00080000,200409345.00000000,200593835.12050000,86392
1657584000000,2022-07-12 00:00:00,USDC/USDT,1.00090000,1.00110000,1.00080000,1.00100000,193759860.00000000,193949519.58240000,86322
1657497600000,2022-07-11 00:00:00,USDC/USDT,1.00070000,1.00110000,1.00060000,1.00080000,344951787.00000000,345248771.00480000,68281
1657411200000,2022-07-10 00:00:00,USDC/USDT,1.00050000,1.00070000,1.00050000,1.00070000,116830911.00000000,116898229.64610000,67290
1657324800000,2022-07-09 00:00:00,USDC/USDT,1.00070000,1.00080000,1.00050000,1.00060000,115672648.00000000,115743727.23890000,74574
1657238400000,2022-07-08 00:00:00,USDC/USDT,1.00070000,1.00090000,1.00050000,1.00070000,269006448.00000000,269184058.39390000,101458
1657152000000,2022-07-07 00:00:00,USDC/USDT,1.00110000,1.00110000,1.00060000,1.00060000,189676355.00000000,189846658.17630000,76272
1657065600000,2022-07-06 00:00:00,USDC/USDT,1.00100000,1.00110000,1.00100000,1.00100000,175634098.00000000,175818498.30900000,72306
1656979200000,2022-07-05 00:00:00,USDC/USDT,1.00120000,1.00130000,1.00100000,1.00110000,227639713.00000000,227893150.31270000,88103
1656892800000,2022-07-04 00:00:00,USDC/USDT,1.00120000,1.00120000,1.00100000,1.00110000,204491114.00000000,204721299.83240000,68127
1656806400000,2022-07-03 00:00:00,USDC/USDT,1.00120000,1.00130000,1.00110000,1.00120000,102068009.00000000,102186367.56140000,44176
1656720000000,2022-07-02 00:00:00,USDC/USDT,1.00130000,1.00130000,1.00110000,1.00130000,116149676.00000000,116293087.68190000,45872
1656633600000,2022-07-01 00:00:00,USDC/USDT,1.00130000,1.00140000,1.00110000,1.00120000,222307555.00000000,222580962.20240000,78912
1656547200000,2022-06-30 00:00:00,USDC/USDT,1.00120000,1.00150000,1.00110000,1.00130000,361750144.00000000,362207889.14350000,120359
1656460800000,2022-06-29 00:00:00,USDC/USDT,1.00130000,1.00160000,1.00110000,1.00120000,449225121.00000000,449829929.27000000,76315
1656374400000,2022-06-28 00:00:00,USDC/USDT,1.00100000,1.00160000,1.00100000,1.00130000,458747600.00000000,459320251.32760000,78300
1656288000000,2022-06-27 00:00:00,USDC/USDT,1.00070000,1.00120000,1.00060000,1.00100000,410156842.00000000,410529683.73450000,83694
1656201600000,2022-06-26 00:00:00,USDC/USDT,1.00070000,1.00080000,1.00060000,1.00060000,142146764.00000000,142242586.70720000,94108
1656115200000,2022-06-25 00:00:00,USDC/USDT,1.00080000,1.00080000,1.00060000,1.00070000,166813882.00000000,166926983.46050000,99248
1656028800000,2022-06-24 00:00:00,USDC/USDT,1.00100000,1.00100000,1.00060000,1.00080000,440390348.00000000,440747504.10600000,106486
1655942400000,2022-06-23 00:00:00,USDC/USDT,1.00120000,1.00120000,1.00080000,1.00090000,299454542.00000000,299737646.84230000,74369
1655856000000,2022-06-22 00:00:00,USDC/USDT,1.00120000,1.00120000,1.00110000,1.00110000,211179798.00000000,211422712.90070000,68823
1655769600000,2022-06-21 00:00:00,USDC/USDT,1.00120000,1.00130000,1.00100000,1.00120000,302646953.00000000,302993708.74620000,78024
1655683200000,2022-06-20 00:00:00,USDC/USDT,1.00130000,1.00160000,1.00110000,1.00120000,376565651.00000000,377049277.35530000,70705
1655596800000,2022-06-19 00:00:00,USDC/USDT,1.00150000,1.00180000,1.00120000,1.00130000,349783079.00000000,350302559.15950000,73801
1655510400000,2022-06-18 00:00:00,USDC/USDT,1.00130000,1.00190000,1.00120000,1.00160000,587515225.00000000,588376896.39300000,95824
1655424000000,2022-06-17 00:00:00,USDC/USDT,1.00130000,1.00150000,1.00120000,1.00120000,370664218.00000000,371163487.14760000,60548
1655337600000,2022-06-16 00:00:00,USDC/USDT,1.00120000,1.00170000,1.00110000,1.00130000,375419682.00000000,375894648.54430000,101894
1655251200000,2022-06-15 00:00:00,USDC/USDT,1.00120000,1.00210000,1.00110000,1.00120000,989468430.00000000,991003383.04360000,194839
1655164800000,2022-06-14 00:00:00,USDC/USDT,1.00150000,1.00160000,1.00110000,1.00110000,500295487.00000000,500967319.01600000,149557
1655078400000,2022-06-13 00:00:00,USDC/USDT,1.00120000,1.00360000,1.00110000,1.00150000,1232069753.00000000,1234127561.48650000,235899
1654992000000,2022-06-12 00:00:00,USDC/USDT,1.00120000,1.00150000,1.00110000,1.00120000,421084512.00000000,421633480.07080000,87438
1654905600000,2022-06-11 00:00:00,USDC/USDT,1.00110000,1.00130000,1.00100000,1.00120000,226945216.00000000,227198911.95660000,75128
1654819200000,2022-06-10 00:00:00,USDC/USDT,1.00090000,1.00110000,1.00080000,1.00110000,186004485.00000000,186172824.26910000,60113
1654732800000,2022-06-09 00:00:00,USDC/USDT,1.00070000,1.00090000,1.00060000,1.00090000,182441578.00000000,182583767.73260000,62602
1654646400000,2022-06-08 00:00:00,USDC/USDT,1.00070000,1.00080000,1.00040000,1.00080000,239198983.00000000,239355537.17410000,72982
1654560000000,2022-06-07 00:00:00,USDC/USDT,1.00080000,1.00110000,1.00050000,1.00070000,376464124.00000000,376758327.34670000,107301
1654473600000,2022-06-06 00:00:00,USDC/USDT,1.00090000,1.00100000,1.00070000,1.00090000,220854875.00000000,221035915.88040000,73620
1654387200000,2022-06-05 00:00:00,USDC/USDT,1.00090000,1.00100000,1.00080000,1.00090000,109237625.00000000,109332952.47790000,53659
1654300800000,2022-06-04 00:00:00,USDC/USDT,1.00100000,1.00110000,1.00080000,1.00090000,114920277.00000000,115026599.92800000,40290
