unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,VET/USDT,0.02611000,0.02618000,0.02590000,0.02606000,15703236.50000000,408682.24489600,1455
1658188800000,2022-07-19 00:00:00,VET/USDT,0.02472000,0.02640000,0.02400000,0.02611000,1055897939.70000000,26656189.03431100,96806
1658102400000,2022-07-18 00:00:00,VET/USDT,0.02320000,0.02498000,0.02305000,0.02473000,957144068.30000000,23222631.91462200,83157
1658016000000,2022-07-17 00:00:00,VET/USDT,0.02370000,0.02416000,0.02313000,0.02319000,512583881.10000000,12081114.75330200,42976
1657929600000,2022-07-16 00:00:00,VET/USDT,0.02297000,0.02385000,0.02253000,0.02370000,472922911.30000000,10986388.62963700,35586
1657843200000,2022-07-15 00:00:00,VET/USDT,0.02282000,0.02349000,0.02253000,0.02297000,539393539.40000000,12414307.67740800,40789
1657756800000,2022-07-14 00:00:00,VET/USDT,0.02226000,0.02303000,0.02151000,0.02281000,601749897.20000000,13356878.18729100,44670
1657670400000,2022-07-13 00:00:00,VET/USDT,0.02148000,0.02235000,0.02073000,0.02225000,691614502.90000000,14924607.01898600,52258
1657584000000,2022-07-12 00:00:00,VET/USDT,0.02203000,0.02229000,0.02139000,0.02149000,502861036.10000000,11014884.51069900,34188
1657497600000,2022-07-11 00:00:00,VET/USDT,0.02339000,0.02341000,0.02193000,0.02204000,471484139.70000000,10719302.29866300,38753
1657411200000,2022-07-10 00:00:00,VET/USDT,0.02408000,0.02423000,0.02321000,0.02338000,356600730.70000000,8438820.91632300,27803
1657324800000,2022-07-09 00:00:00,VET/USDT,0.02373000,0.02453000,0.02373000,0.02408000,368970714.20000000,8926321.61350000,34062
1657238400000,2022-07-08 00:00:00,VET/USDT,0.02408000,0.02479000,0.02353000,0.02374000,747493550.30000000,18015189.89735500,55780
1657152000000,2022-07-07 00:00:00,VET/USDT,0.02355000,0.02438000,0.02310000,0.02407000,607658537.10000000,14440705.28940800,45320
1657065600000,2022-07-06 00:00:00,VET/USDT,0.02270000,0.02388000,0.02225000,0.02357000,781425274.20000000,18101430.97622600,60123
1656979200000,2022-07-05 00:00:00,VET/USDT,0.02331000,0.02352000,0.02196000,0.02269000,696035613.90000000,15844150.15765200,53692
1656892800000,2022-07-04 00:00:00,VET/USDT,0.02258000,0.02342000,0.02194000,0.02332000,576325884.70000000,13083391.63006400,45217
1656806400000,2022-07-03 00:00:00,VET/USDT,0.02235000,0.02284000,0.02180000,0.02257000,434094736.30000000,9661338.71377500,35424
1656720000000,2022-07-02 00:00:00,VET/USDT,0.02227000,0.02264000,0.02181000,0.02235000,433993542.20000000,9638128.69950600,36691
1656633600000,2022-07-01 00:00:00,VET/USDT,0.02278000,0.02332000,0.02175000,0.02226000,894025092.80000000,20014117.97517100,72729
1656547200000,2022-06-30 00:00:00,VET/USDT,0.02277000,0.02293000,0.02122000,0.02277000,878169206.30000000,19313168.80830400,70860
1656460800000,2022-06-29 00:00:00,VET/USDT,0.02343000,0.02377000,0.02237000,0.02277000,898996197.00000000,20704572.10072000,70206
1656374400000,2022-06-28 00:00:00,VET/USDT,0.02458000,0.02537000,0.02330000,0.02343000,771674102.90000000,18888512.40412400,68302
1656288000000,2022-06-27 00:00:00,VET/USDT,0.02428000,0.02550000,0.02411000,0.02458000,742164531.10000000,18399737.51384100,66179
1656201600000,2022-06-26 00:00:00,VET/USDT,0.02620000,0.02672000,0.02420000,0.02428000,837505818.30000000,21355218.40282100,72205
1656115200000,2022-06-25 00:00:00,VET/USDT,0.02540000,0.02642000,0.02448000,0.02620000,724413060.40000000,18453829.68910700,63256
1656028800000,2022-06-24 00:00:00,VET/USDT,0.02416000,0.02595000,0.02393000,0.02540000,923142041.10000000,23012804.96280500,76149
1655942400000,2022-06-23 00:00:00,VET/USDT,0.02275000,0.02428000,0.02264000,0.02415000,805667867.90000000,18980866.01179300,64902
1655856000000,2022-06-22 00:00:00,VET/USDT,0.02369000,0.02376000,0.02255000,0.02274000,802070929.00000000,18537371.92513600,74319
1655769600000,2022-06-21 00:00:00,VET/USDT,0.02353000,0.02519000,0.02306000,0.02368000,1112327960.90000000,26879616.32202700,98965
1655683200000,2022-06-20 00:00:00,VET/USDT,0.02306000,0.02386000,0.02194000,0.02354000,1010706835.50000000,23239946.62258800,83581
1655596800000,2022-06-19 00:00:00,VET/USDT,0.02165000,0.02330000,0.02073000,0.02305000,1275391854.30000000,28111182.07328400,105254
1655510400000,2022-06-18 00:00:00,VET/USDT,0.02333000,0.02370000,0.02003000,0.02167000,1718212255.60000000,37016437.48930600,133620
1655424000000,2022-06-17 00:00:00,VET/USDT,0.02270000,0.02394000,0.02250000,0.02332000,628942193.10000000,14657347.70548500,58774
1655337600000,2022-06-16 00:00:00,VET/USDT,0.02556000,0.02590000,0.02227000,0.02270000,1162164531.20000000,27470606.08773400,107380
1655251200000,2022-06-15 00:00:00,VET/USDT,0.02393000,0.02561000,0.02145000,0.02556000,1887122386.40000000,43323720.14654000,197954
1655164800000,2022-06-14 00:00:00,VET/USDT,0.02385000,0.02487000,0.02194000,0.02393000,1652413923.80000000,39114722.23137900,166750
1655078400000,2022-06-13 00:00:00,VET/USDT,0.02569000,0.02630000,0.02223000,0.02384000,2193282310.10000000,52059508.97359500,234224
1654992000000,2022-06-12 00:00:00,VET/USDT,0.02763000,0.02800000,0.02563000,0.02569000,1022484547.70000000,27302735.20905400,105048
1654905600000,2022-06-11 00:00:00,VET/USDT,0.02949000,0.03019000,0.02709000,0.02762000,743311222.30000000,21116404.48307600,79992
1654819200000,2022-06-10 00:00:00,VET/USDT,0.03184000,0.03236000,0.02918000,0.02948000,836128959.50000000,25629455.92293800,88224
1654732800000,2022-06-09 00:00:00,VET/USDT,0.03027000,0.03316000,0.02988000,0.03184000,1112336484.00000000,35377341.33028000,116255
1654646400000,2022-06-08 00:00:00,VET/USDT,0.03066000,0.03128000,0.03001000,0.03026000,447962022.70000000,13676426.80076500,46657
1654560000000,2022-06-07 00:00:00,VET/USDT,0.03173000,0.03185000,0.02952000,0.03066000,732375464.10000000,22281278.61492900,74748
1654473600000,2022-06-06 00:00:00,VET/USDT,0.03043000,0.03275000,0.03032000,0.03174000,608304673.20000000,19327682.96720800,65516
1654387200000,2022-06-05 00:00:00,VET/USDT,0.03055000,0.03092000,0.02999000,0.03044000,321180365.80000000,9774829.04776000,31860
1654300800000,2022-06-04 00:00:00,VET/USDT,0.03020000,0.03074000,0.02957000,0.03055000,333473728.90000000,10091883.18937600,34940
1654214400000,2022-06-03 00:00:00,VET/USDT,0.03144000,0.03177000,0.02978000,0.03022000,477056049.10000000,14532482.52580200,48280
1654128000000,2022-06-02 00:00:00,VET/USDT,0.03052000,0.03172000,0.03001000,0.03144000,577253108.20000000,17806287.74728500,60820
1654041600000,2022-06-01 00:00:00,VET/USDT,0.03284000,0.03418000,0.02998000,0.03051000,937691750.80000000,30296461.56418400,110111
1653955200000,2022-05-31 00:00:00,VET/USDT,0.03294000,0.03382000,0.03183000,0.03283000,1000585124.70000000,32924573.70117200,109162
1653868800000,2022-05-30 00:00:00,VET/USDT,0.03016000,0.03312000,0.03001000,0.03294000,921383094.80000000,29192525.83823200,87146
1653782400000,2022-05-29 00:00:00,VET/USDT,0.02973000,0.03020000,0.02894000,0.03017000,507150696.70000000,15025112.50510300,46361
1653696000000,2022-05-28 00:00:00,VET/USDT,0.02908000,0.03011000,0.02862000,0.02972000,611053039.10000000,18009383.64585600,55216
1653609600000,2022-05-27 00:00:00,VET/USDT,0.02948000,0.03053000,0.02840000,0.02907000,1423020573.50000000,41798296.19963200,153745
1653523200000,2022-05-26 00:00:00,VET/USDT,0.03133000,0.03216000,0.02809000,0.02948000,1471374689.80000000,44036010.11801300,150679
1653436800000,2022-05-25 00:00:00,VET/USDT,0.03168000,0.03252000,0.03037000,0.03133000,887457434.30000000,27812920.30734400,79081
1653350400000,2022-05-24 00:00:00,VET/USDT,0.03122000,0.03218000,0.02956000,0.03168000,850806703.30000000,26468655.32026500,82149
1653264000000,2022-05-23 00:00:00,VET/USDT,0.03196000,0.03495000,0.03062000,0.03120000,1163794783.30000000,38356569.82462400,120284
1653177600000,2022-05-22 00:00:00,VET/USDT,0.03080000,0.03281000,0.03058000,0.03198000,751373201.90000000,23826848.24669100,69537
1653091200000,2022-05-21 00:00:00,VET/USDT,0.03009000,0.03120000,0.02959000,0.03080000,535075124.40000000,16308200.15979800,52565
1653004800000,2022-05-20 00:00:00,VET/USDT,0.03148000,0.03204000,0.02936000,0.03007000,807140947.50000000,24762111.25838300,81615
1652918400000,2022-05-19 00:00:00,VET/USDT,0.02920000,0.03165000,0.02826000,0.03150000,861117236.80000000,25950063.03380100,94091
1652832000000,2022-05-18 00:00:00,VET/USDT,0.03286000,0.03319000,0.02896000,0.02920000,873122692.20000000,26839450.17240300,89371
1652745600000,2022-05-17 00:00:00,VET/USDT,0.03104000,0.03332000,0.03080000,0.03286000,790805578.80000000,25326857.16894800,87694
1652659200000,2022-05-16 00:00:00,VET/USDT,0.03353000,0.03353000,0.02995000,0.03103000,1091221485.30000000,33961364.92209000,128851
1652572800000,2022-05-15 00:00:00,VET/USDT,0.03177000,0.03367000,0.03038000,0.03353000,854067771.80000000,27053622.22632300,100991
1652486400000,2022-05-14 00:00:00,VET/USDT,0.03057000,0.03267000,0.02850000,0.03175000,1342088540.50000000,40899826.18622900,153255
1652400000000,2022-05-13 00:00:00,VET/USDT,0.02767000,0.03430000,0.02723000,0.03057000,2150333178.70000000,68694030.32159000,237259
