unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,XLM/USDT,0.11850000,0.11920000,0.11800000,0.11810000,1063749.00000000,126194.31940000,509
1658188800000,2022-07-19 00:00:00,XLM/USDT,0.11420000,0.12000000,0.11080000,0.11850000,111798401.00000000,12912798.06250000,47192
1658102400000,2022-07-18 00:00:00,XLM/USDT,0.10660000,0.11630000,0.10640000,0.11420000,107817753.00000000,12134673.86840000,49515
1658016000000,2022-07-17 00:00:00,XLM/USDT,0.10960000,0.11120000,0.10610000,0.10660000,65045395.00000000,7075733.25240000,29208
1657929600000,2022-07-16 00:00:00,XLM/USDT,0.10740000,0.11030000,0.10520000,0.10960000,61599000.00000000,6658689.94950000,25930
1657843200000,2022-07-15 00:00:00,XLM/USDT,0.10710000,0.10880000,0.10530000,0.10730000,63072973.00000000,6755252.10710000,26523
1657756800000,2022-07-14 00:00:00,XLM/USDT,0.10540000,0.10730000,0.10180000,0.10720000,53596611.00000000,5589117.58350000,23571
1657670400000,2022-07-13 00:00:00,XLM/USDT,0.10030000,0.10580000,0.09900000,0.10540000,89666316.00000000,9173166.49466400,38828
1657584000000,2022-07-12 00:00:00,XLM/USDT,0.10140000,0.10350000,0.10020000,0.10030000,53257920.00000000,5432189.75790000,23742
1657497600000,2022-07-11 00:00:00,XLM/USDT,0.10750000,0.10800000,0.10100000,0.10130000,58728489.00000000,6168771.46950000,25047
1657411200000,2022-07-10 00:00:00,XLM/USDT,0.11260000,0.11290000,0.10560000,0.10750000,67723938.00000000,7368848.50330000,28291
1657324800000,2022-07-09 00:00:00,XLM/USDT,0.11300000,0.11510000,0.11190000,0.11270000,46234887.00000000,5254880.92030000,21224
1657238400000,2022-07-08 00:00:00,XLM/USDT,0.11370000,0.11840000,0.11170000,0.11310000,71656922.00000000,8206706.97830000,31064
1657152000000,2022-07-07 00:00:00,XLM/USDT,0.10930000,0.11550000,0.10900000,0.11370000,56395326.00000000,6309819.12320000,23804
1657065600000,2022-07-06 00:00:00,XLM/USDT,0.10800000,0.11040000,0.10660000,0.10940000,51931319.00000000,5647494.47740000,21207
1656979200000,2022-07-05 00:00:00,XLM/USDT,0.11120000,0.11160000,0.10440000,0.10800000,65455013.00000000,7075440.09660000,26493
1656892800000,2022-07-04 00:00:00,XLM/USDT,0.10910000,0.11140000,0.10640000,0.11130000,47320272.00000000,5157725.13600000,20488
1656806400000,2022-07-03 00:00:00,XLM/USDT,0.10860000,0.11120000,0.10590000,0.10910000,47741739.00000000,5155081.41260000,22054
1656720000000,2022-07-02 00:00:00,XLM/USDT,0.11010000,0.11100000,0.10530000,0.10860000,67602629.00000000,7288738.54630000,27732
1656633600000,2022-07-01 00:00:00,XLM/USDT,0.11230000,0.11540000,0.10770000,0.11010000,71174868.00000000,7885200.04880000,32749
1656547200000,2022-06-30 00:00:00,XLM/USDT,0.11010000,0.11250000,0.10300000,0.11230000,86503540.00000000,9239545.45780000,37850
1656460800000,2022-06-29 00:00:00,XLM/USDT,0.11440000,0.11560000,0.10710000,0.11010000,87792514.00000000,9747061.05420000,31640
1656374400000,2022-06-28 00:00:00,XLM/USDT,0.11910000,0.12130000,0.11370000,0.11430000,66245216.00000000,7795713.80910000,29762
1656288000000,2022-06-27 00:00:00,XLM/USDT,0.12020000,0.12430000,0.11640000,0.11910000,60159018.00000000,7249121.07580000,29221
1656201600000,2022-06-26 00:00:00,XLM/USDT,0.12690000,0.12830000,0.11980000,0.12030000,56954866.00000000,7100441.64570000,29076
1656115200000,2022-06-25 00:00:00,XLM/USDT,0.12770000,0.13010000,0.12270000,0.12680000,50713308.00000000,6432448.05340000,27673
1656028800000,2022-06-24 00:00:00,XLM/USDT,0.11800000,0.13050000,0.11790000,0.12780000,96557737.00000000,12135266.93530000,48490
1655942400000,2022-06-23 00:00:00,XLM/USDT,0.11290000,0.11920000,0.11250000,0.11800000,78531792.00000000,9164564.37790000,31899
1655856000000,2022-06-22 00:00:00,XLM/USDT,0.11460000,0.11570000,0.10930000,0.11290000,74521292.00000000,8417449.47600000,33934
1655769600000,2022-06-21 00:00:00,XLM/USDT,0.11300000,0.11930000,0.11150000,0.11450000,97186699.00000000,11201278.59480000,42430
1655683200000,2022-06-20 00:00:00,XLM/USDT,0.11480000,0.11800000,0.11000000,0.11310000,91130643.00000000,10390770.82480000,40399
1655596800000,2022-06-19 00:00:00,XLM/USDT,0.10770000,0.11660000,0.10420000,0.11480000,142189740.00000000,15620985.77320000,59623
1655510400000,2022-06-18 00:00:00,XLM/USDT,0.11180000,0.11350000,0.10010000,0.10770000,116752264.00000000,12378778.29310000,56131
1655424000000,2022-06-17 00:00:00,XLM/USDT,0.10930000,0.11660000,0.10690000,0.11190000,82840535.00000000,9298683.42110000,40418
1655337600000,2022-06-16 00:00:00,XLM/USDT,0.12120000,0.12310000,0.10670000,0.10910000,101083526.00000000,11471297.85690000,49513
1655251200000,2022-06-15 00:00:00,XLM/USDT,0.11270000,0.12240000,0.10390000,0.12120000,189939552.00000000,21002309.29830000,83104
1655164800000,2022-06-14 00:00:00,XLM/USDT,0.10680000,0.11530000,0.10010000,0.11270000,171588224.00000000,18671585.39194200,70483
1655078400000,2022-06-13 00:00:00,XLM/USDT,0.11840000,0.11920000,0.10350000,0.10680000,203695522.00000000,22259835.39830000,89595
1654992000000,2022-06-12 00:00:00,XLM/USDT,0.12530000,0.12700000,0.11740000,0.11850000,82459612.00000000,10024839.57040000,42815
1654905600000,2022-06-11 00:00:00,XLM/USDT,0.13300000,0.13570000,0.12250000,0.12530000,76868399.00000000,9891054.67230000,40724
1654819200000,2022-06-10 00:00:00,XLM/USDT,0.13990000,0.14110000,0.13170000,0.13310000,78780456.00000000,10709217.73600000,38721
1654732800000,2022-06-09 00:00:00,XLM/USDT,0.14010000,0.14260000,0.13830000,0.13980000,44355259.00000000,6213095.80760000,23975
1654646400000,2022-06-08 00:00:00,XLM/USDT,0.14040000,0.14390000,0.13600000,0.14010000,81984398.00000000,11494367.57290000,41811
1654560000000,2022-06-07 00:00:00,XLM/USDT,0.14500000,0.14550000,0.13420000,0.14040000,82274060.00000000,11466493.63720000,43626
1654473600000,2022-06-06 00:00:00,XLM/USDT,0.14340000,0.15060000,0.14220000,0.14500000,73854546.00000000,10822900.47190000,40328
1654387200000,2022-06-05 00:00:00,XLM/USDT,0.14340000,0.14770000,0.14110000,0.14350000,58529048.00000000,8439184.26430000,31574
1654300800000,2022-06-04 00:00:00,XLM/USDT,0.14610000,0.14760000,0.14050000,0.14360000,87926837.00000000,12631497.27550000,39816
1654214400000,2022-06-03 00:00:00,XLM/USDT,0.14310000,0.15100000,0.13960000,0.14610000,114301632.00000000,16587588.73610000,56418
