unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,XMR/USDT,146.30000000,146.60000000,145.00000000,145.20000000,961.73600000,140016.20100000,510
1658188800000,2022-07-19 00:00:00,XMR/USDT,146.90000000,149.00000000,139.80000000,146.30000000,150812.79200000,21822173.10130000,60853
1658102400000,2022-07-18 00:00:00,XMR/USDT,136.00000000,149.00000000,135.70000000,146.90000000,117408.74300000,16919058.25560000,52287
1658016000000,2022-07-17 00:00:00,XMR/USDT,138.90000000,142.20000000,134.10000000,136.00000000,68752.11100000,9503985.17330000,32032
1657929600000,2022-07-16 00:00:00,XMR/USDT,138.90000000,145.00000000,135.50000000,138.90000000,111834.23700000,15578218.65040000,41546
1657843200000,2022-07-15 00:00:00,XMR/USDT,134.10000000,141.50000000,132.50000000,138.80000000,121146.96800000,16502453.30700000,48226
1657756800000,2022-07-14 00:00:00,XMR/USDT,124.20000000,135.00000000,123.20000000,134.00000000,74734.36600000,9610156.22510000,31784
1657670400000,2022-07-13 00:00:00,XMR/USDT,123.10000000,126.00000000,117.60000000,124.20000000,73515.81000000,8998642.22740000,30433
1657584000000,2022-07-12 00:00:00,XMR/USDT,126.90000000,129.40000000,122.80000000,123.10000000,77227.82100000,9747265.81840000,30050
1657497600000,2022-07-11 00:00:00,XMR/USDT,129.70000000,133.00000000,125.60000000,127.00000000,165930.58800000,21552584.58570000,70184
1657411200000,2022-07-10 00:00:00,XMR/USDT,127.10000000,129.80000000,120.60000000,129.80000000,79923.95600000,9952862.91420000,31287
1657324800000,2022-07-09 00:00:00,XMR/USDT,125.20000000,129.20000000,124.80000000,127.20000000,50922.19100000,6445601.49660000,23794
1657238400000,2022-07-08 00:00:00,XMR/USDT,130.40000000,133.80000000,125.00000000,125.30000000,79658.70600000,10331373.80660000,29262
1657152000000,2022-07-07 00:00:00,XMR/USDT,125.50000000,131.50000000,125.20000000,130.40000000,91731.30000000,11818551.93120000,30385
1657065600000,2022-07-06 00:00:00,XMR/USDT,122.60000000,126.90000000,121.00000000,125.60000000,75684.05400000,9414444.19640000,29607
1656979200000,2022-07-05 00:00:00,XMR/USDT,124.00000000,125.50000000,118.60000000,122.60000000,91636.65300000,11200334.75990000,33661
1656892800000,2022-07-04 00:00:00,XMR/USDT,116.50000000,124.50000000,115.00000000,124.00000000,82904.67900000,9973523.95140000,28165
1656806400000,2022-07-03 00:00:00,XMR/USDT,116.10000000,117.90000000,113.50000000,116.60000000,59238.92400000,6858275.84600000,20208
1656720000000,2022-07-02 00:00:00,XMR/USDT,115.50000000,119.20000000,113.20000000,116.00000000,88343.86100000,10316045.48040000,30336
1656633600000,2022-07-01 00:00:00,XMR/USDT,113.20000000,117.60000000,110.80000000,115.40000000,80110.97000000,9095032.71430000,31210
1656547200000,2022-06-30 00:00:00,XMR/USDT,119.00000000,119.70000000,108.00000000,113.10000000,85513.58300000,9585562.19290000,30790
