unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,XRP/USDT,0.37280000,0.37340000,0.36940000,0.36970000,4219209.00000000,1565297.75100000,3022
1658188800000,2022-07-19 00:00:00,XRP/USDT,0.36520000,0.37670000,0.35150000,0.37290000,372635897.00000000,135433770.49090000,240551
1658102400000,2022-07-18 00:00:00,XRP/USDT,0.34340000,0.37010000,0.34290000,0.36530000,404237689.00000000,145950885.01270000,247021
1658016000000,2022-07-17 00:00:00,XRP/USDT,0.35040000,0.36140000,0.34130000,0.34330000,203255685.00000000,71308820.20370000,155405
1657929600000,2022-07-16 00:00:00,XRP/USDT,0.33410000,0.35650000,0.33130000,0.35050000,271487176.00000000,93541230.76020000,176489
1657843200000,2022-07-15 00:00:00,XRP/USDT,0.33380000,0.34900000,0.32730000,0.33420000,392883643.00000000,132631266.87460000,200294
1657756800000,2022-07-14 00:00:00,XRP/USDT,0.32360000,0.33400000,0.31220000,0.33380000,323459383.00000000,103892845.09040000,146897
1657670400000,2022-07-13 00:00:00,XRP/USDT,0.31170000,0.32600000,0.30200000,0.32370000,354463864.00000000,111462870.56330000,176989
1657584000000,2022-07-12 00:00:00,XRP/USDT,0.31520000,0.31820000,0.30780000,0.31160000,234067778.00000000,73193935.24270000,126411
1657497600000,2022-07-11 00:00:00,XRP/USDT,0.32560000,0.32920000,0.31080000,0.31520000,246538517.00000000,79546363.02400000,133558
1657411200000,2022-07-10 00:00:00,XRP/USDT,0.34480000,0.34490000,0.31970000,0.32550000,240237163.00000000,79468929.00350000,124569
1657324800000,2022-07-09 00:00:00,XRP/USDT,0.34030000,0.34770000,0.33920000,0.34480000,131799232.00000000,45267170.31630000,80709
1657238400000,2022-07-08 00:00:00,XRP/USDT,0.34230000,0.35900000,0.33590000,0.34020000,383269941.00000000,133000861.91340000,213155
1657152000000,2022-07-07 00:00:00,XRP/USDT,0.33240000,0.34560000,0.32690000,0.34220000,261063763.00000000,87266153.13030000,126050
1657065600000,2022-07-06 00:00:00,XRP/USDT,0.32520000,0.33400000,0.32000000,0.33240000,295359140.00000000,95886316.44820000,132366
1656979200000,2022-07-05 00:00:00,XRP/USDT,0.32870000,0.33100000,0.31280000,0.32520000,332749123.00000000,107262278.45290000,146859
1656892800000,2022-07-04 00:00:00,XRP/USDT,0.32160000,0.33000000,0.31460000,0.32870000,276890244.00000000,88994114.96570000,126096
1656806400000,2022-07-03 00:00:00,XRP/USDT,0.31570000,0.32580000,0.30850000,0.32150000,194701668.00000000,61533546.21190000,107856
