unix,date,symbol,open,high,low,close,Volume XTZ,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,XTZ/USDT,1.74300000,1.74800000,1.72800000,1.73100000,37403.40000000,64961.16400000,461
1658188800000,2022-07-19 00:00:00,XTZ/USDT,1.73000000,1.79600000,1.65600000,1.74300000,4206854.50000000,7258844.05300000,40752
1658102400000,2022-07-18 00:00:00,XTZ/USDT,1.57600000,1.74900000,1.56600000,1.73000000,4864486.90000000,8169332.73300000,41025
1658016000000,2022-07-17 00:00:00,XTZ/USDT,1.60200000,1.64000000,1.56500000,1.57400000,2973656.50000000,4748145.52100000,20972
1657929600000,2022-07-16 00:00:00,XTZ/USDT,1.57200000,1.63400000,1.53900000,1.60300000,1754287.70000000,2777772.91610000,14501
1657843200000,2022-07-15 00:00:00,XTZ/USDT,1.56500000,1.62200000,1.55000000,1.57300000,3742546.20000000,5941422.51440000,28750
1657756800000,2022-07-14 00:00:00,XTZ/USDT,1.52100000,1.58300000,1.45900000,1.56500000,4128124.50000000,6255122.51240000,26034
1657670400000,2022-07-13 00:00:00,XTZ/USDT,1.43500000,1.52300000,1.39800000,1.52100000,6321681.70000000,9237027.58420000,40960
1657584000000,2022-07-12 00:00:00,XTZ/USDT,1.57400000,1.62500000,1.42300000,1.43500000,6180475.90000000,9437552.47190000,40026
1657497600000,2022-07-11 00:00:00,XTZ/USDT,1.62500000,1.70900000,1.56200000,1.57400000,9860707.50000000,16267418.22400000,65754
1657411200000,2022-07-10 00:00:00,XTZ/USDT,1.62300000,1.66500000,1.53700000,1.62600000,3652052.60000000,5858320.12690000,24247
1657324800000,2022-07-09 00:00:00,XTZ/USDT,1.52700000,1.65600000,1.52600000,1.62200000,5382477.30000000,8624786.61970000,36032
1657238400000,2022-07-08 00:00:00,XTZ/USDT,1.56900000,1.60300000,1.50000000,1.52700000,3555128.40000000,5486745.32880000,25179
1657152000000,2022-07-07 00:00:00,XTZ/USDT,1.54500000,1.59500000,1.53600000,1.56900000,5756159.10000000,8995312.23420000,31913
1657065600000,2022-07-06 00:00:00,XTZ/USDT,1.46800000,1.58700000,1.45800000,1.54600000,3780096.70000000,5728437.28540000,28967
1656979200000,2022-07-05 00:00:00,XTZ/USDT,1.53700000,1.55900000,1.42900000,1.46900000,3909449.20000000,5823215.98470000,28592
1656892800000,2022-07-04 00:00:00,XTZ/USDT,1.44800000,1.56300000,1.43700000,1.53600000,4788968.30000000,7228755.22580000,29676
1656806400000,2022-07-03 00:00:00,XTZ/USDT,1.45500000,1.47600000,1.39700000,1.44700000,4315863.30000000,6201768.87090000,22051
1656720000000,2022-07-02 00:00:00,XTZ/USDT,1.38000000,1.51100000,1.35700000,1.45400000,8792364.60000000,12629273.67660000,48539
1656633600000,2022-07-01 00:00:00,XTZ/USDT,1.42700000,1.47300000,1.33000000,1.37800000,7013427.10000000,9686568.42810000,37751
1656547200000,2022-06-30 00:00:00,XTZ/USDT,1.47800000,1.48500000,1.34500000,1.42600000,4301728.90000000,5988314.90460000,32332
1656460800000,2022-06-29 00:00:00,XTZ/USDT,1.51300000,1.56300000,1.45900000,1.47800000,4658749.00000000,7008555.37470000,33817
1656374400000,2022-06-28 00:00:00,XTZ/USDT,1.60100000,1.68400000,1.50500000,1.51300000,7835404.30000000,12605684.60040000,58075
1656288000000,2022-06-27 00:00:00,XTZ/USDT,1.44300000,1.64400000,1.43800000,1.60100000,8259498.00000000,12955323.21120000,61523
1656201600000,2022-06-26 00:00:00,XTZ/USDT,1.54200000,1.59800000,1.43600000,1.44300000,2777074.80000000,4235651.55340000,20557
1656115200000,2022-06-25 00:00:00,XTZ/USDT,1.53500000,1.57800000,1.45500000,1.54100000,2695059.40000000,4095189.38750000,20259
1656028800000,2022-06-24 00:00:00,XTZ/USDT,1.43900000,1.58000000,1.43700000,1.53500000,3912115.10000000,5850280.55020000,28988
1655942400000,2022-06-23 00:00:00,XTZ/USDT,1.34300000,1.45300000,1.33100000,1.43900000,3687948.50000000,5153503.69730000,24497
1655856000000,2022-06-22 00:00:00,XTZ/USDT,1.42900000,1.43100000,1.33200000,1.34100000,4709720.70000000,6461672.13080000,33650
1655769600000,2022-06-21 00:00:00,XTZ/USDT,1.44400000,1.52400000,1.39600000,1.42800000,7731935.80000000,11173838.83690000,47494
1655683200000,2022-06-20 00:00:00,XTZ/USDT,1.39100000,1.46200000,1.31900000,1.44300000,5469807.00000000,7700484.44040000,35090
1655596800000,2022-06-19 00:00:00,XTZ/USDT,1.28700000,1.41700000,1.21000000,1.39000000,5701648.00000000,7428417.63310000,35742
1655510400000,2022-06-18 00:00:00,XTZ/USDT,1.39000000,1.41700000,1.19500000,1.28700000,6513820.20000000,8418000.84770000,42596
1655424000000,2022-06-17 00:00:00,XTZ/USDT,1.36100000,1.46900000,1.34700000,1.39000000,6258054.60000000,8841997.80360000,34951
1655337600000,2022-06-16 00:00:00,XTZ/USDT,1.53000000,1.55000000,1.33100000,1.35900000,14596907.50000000,20630364.84390000,77696
1655251200000,2022-06-15 00:00:00,XTZ/USDT,1.44900000,1.53800000,1.30000000,1.52900000,8865974.70000000,12314560.80040000,63672
1655164800000,2022-06-14 00:00:00,XTZ/USDT,1.40100000,1.47000000,1.28500000,1.44800000,9324863.80000000,13021177.43676000,73058
1655078400000,2022-06-13 00:00:00,XTZ/USDT,1.63400000,1.65300000,1.33700000,1.40200000,14605148.92000000,21817857.06472000,105460
1654992000000,2022-06-12 00:00:00,XTZ/USDT,1.80000000,1.86600000,1.63000000,1.63700000,9964790.50000000,17104974.98630000,72062
1654905600000,2022-06-11 00:00:00,XTZ/USDT,1.96900000,2.07200000,1.79000000,1.79900000,10319612.70000000,19907613.90630000,74232
1654819200000,2022-06-10 00:00:00,XTZ/USDT,2.22800000,2.36800000,1.95100000,1.97000000,10255387.50000000,22215353.21480000,96584
1654732800000,2022-06-09 00:00:00,XTZ/USDT,2.09300000,2.26900000,2.05700000,2.22700000,9371977.80000000,20421879.99100000,87229
1654646400000,2022-06-08 00:00:00,XTZ/USDT,2.06700000,2.17400000,1.99000000,2.09300000,9021496.30000000,18752455.25420000,74811
1654560000000,2022-06-07 00:00:00,XTZ/USDT,2.06100000,2.21100000,1.95000000,2.06700000,13601110.50000000,28584419.01680000,115541
1654473600000,2022-06-06 00:00:00,XTZ/USDT,1.95500000,2.17300000,1.94800000,2.06100000,5308362.00000000,11082494.96740000,47544
1654387200000,2022-06-05 00:00:00,XTZ/USDT,1.91200000,1.99200000,1.86900000,1.95500000,2360053.60000000,4552413.89600000,21439
1654300800000,2022-06-04 00:00:00,XTZ/USDT,1.90400000,1.92500000,1.84200000,1.91200000,2557380.60000000,4833676.38800000,20566
1654214400000,2022-06-03 00:00:00,XTZ/USDT,1.98300000,1.99000000,1.87100000,1.90500000,2733034.30000000,5262084.76070000,26036
1654128000000,2022-06-02 00:00:00,XTZ/USDT,1.94800000,2.01400000,1.86300000,1.98400000,5046534.20000000,9660056.09260000,42437
1654041600000,2022-06-01 00:00:00,XTZ/USDT,2.09200000,2.13200000,1.91200000,1.94700000,5696787.80000000,11625099.44650000,52149
1653955200000,2022-05-31 00:00:00,XTZ/USDT,2.13800000,2.19800000,2.02200000,2.09100000,5761415.30000000,12139538.24530000,51869
1653868800000,2022-05-30 00:00:00,XTZ/USDT,1.98500000,2.20800000,1.97000000,2.13800000,6962325.60000000,14772356.60460000,58299
1653782400000,2022-05-29 00:00:00,XTZ/USDT,1.97100000,2.03600000,1.91300000,1.98500000,6339300.90000000,12463571.59060000,43452
1653696000000,2022-05-28 00:00:00,XTZ/USDT,1.81900000,1.98000000,1.80800000,1.97100000,7013040.60000000,13396661.56690000,45459
1653609600000,2022-05-27 00:00:00,XTZ/USDT,1.86300000,1.89600000,1.75700000,1.81800000,9318885.30000000,16997358.10630000,70298
1653523200000,2022-05-26 00:00:00,XTZ/USDT,2.13000000,2.26100000,1.81900000,1.86300000,13834143.70000000,27477840.44560000,111444
1653436800000,2022-05-25 00:00:00,XTZ/USDT,2.11900000,2.14700000,1.99300000,2.13100000,7598611.10000000,15748360.67280000,65412
1653350400000,2022-05-24 00:00:00,XTZ/USDT,1.87600000,2.15700000,1.85600000,2.11800000,13829485.00000000,28376114.21360000,117437
1653264000000,2022-05-23 00:00:00,XTZ/USDT,1.97500000,2.06600000,1.86700000,1.87500000,6257763.20000000,12415687.84970000,53376
1653177600000,2022-05-22 00:00:00,XTZ/USDT,1.82100000,2.01100000,1.78200000,1.97500000,8233687.90000000,15855834.93830000,51555
1653091200000,2022-05-21 00:00:00,XTZ/USDT,1.74200000,1.86300000,1.69900000,1.82100000,4486632.80000000,8016663.28360000,28925
1653004800000,2022-05-20 00:00:00,XTZ/USDT,1.75700000,1.80100000,1.67500000,1.74100000,4066998.80000000,7083614.70370000,27173
