unix,date,symbol,open,high,low,close,Volume ZIL,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,ZIL/USDT,0.04403000,0.04500000,0.04374000,0.04434000,33362135.30000000,1487243.39828300,4853
1658188800000,2022-07-19 00:00:00,ZIL/USDT,0.04094000,0.04501000,0.03934000,0.04403000,983655871.70000000,42090983.85001000,138030
1658102400000,2022-07-18 00:00:00,ZIL/USDT,0.03831000,0.04131000,0.03814000,0.04095000,523836201.90000000,20979364.09080800,72553
1658016000000,2022-07-17 00:00:00,ZIL/USDT,0.03885000,0.03958000,0.03784000,0.03830000,270180535.80000000,10463596.53002800,39833
1657929600000,2022-07-16 00:00:00,ZIL/USDT,0.03813000,0.03920000,0.03722000,0.03886000,232066112.70000000,8872853.85393300,33773
1657843200000,2022-07-15 00:00:00,ZIL/USDT,0.03811000,0.03892000,0.03737000,0.03817000,333855898.50000000,12725690.15005300,43917
1657756800000,2022-07-14 00:00:00,ZIL/USDT,0.03721000,0.03843000,0.03582000,0.03811000,386208552.20000000,14355480.33196800,48579
1657670400000,2022-07-13 00:00:00,ZIL/USDT,0.03616000,0.03754000,0.03415000,0.03721000,508219034.60000000,18252926.06495600,57938
1657584000000,2022-07-12 00:00:00,ZIL/USDT,0.03685000,0.03772000,0.03606000,0.03618000,273309412.30000000,10095933.84397100,33539
1657497600000,2022-07-11 00:00:00,ZIL/USDT,0.03932000,0.03936000,0.03649000,0.03685000,243871751.60000000,9246936.69727200,34647
1657411200000,2022-07-10 00:00:00,ZIL/USDT,0.04071000,0.04072000,0.03869000,0.03933000,237164989.30000000,9401437.99859600,34922
1657324800000,2022-07-09 00:00:00,ZIL/USDT,0.03983000,0.04150000,0.03982000,0.04071000,248558386.60000000,10115927.56953000,37422
1657238400000,2022-07-08 00:00:00,ZIL/USDT,0.04105000,0.04200000,0.03892000,0.03982000,415836554.90000000,16774005.72307100,62257
1657152000000,2022-07-07 00:00:00,ZIL/USDT,0.03947000,0.04193000,0.03874000,0.04103000,423684885.90000000,17123363.81603500,57998
1657065600000,2022-07-06 00:00:00,ZIL/USDT,0.03904000,0.03995000,0.03850000,0.03946000,255192745.50000000,9977017.23176500,41660
1656979200000,2022-07-05 00:00:00,ZIL/USDT,0.03996000,0.04140000,0.03744000,0.03902000,445982864.00000000,17590674.27640000,69373
