pair,cmo_period,oversold_value,overbought_value,entry_size,poloniex_period,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
ETH-USDC,7,-60,40,50.0,86400,1000,993.9201445433002,-6.079855456699761,-1.91309224513251,-0.1941795097518202,-0.25103664014951427,-0.01219834873970423,0.006441763981920126,1.96949853,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,4,4,0,0,8
ETH-USDC,7,-60,40,100.0,86400,1000,987.8402916744999,-12.159708325500105,-3.8165053717086144,-0.18090169432162445,-0.2347528804058896,-0.02388218805589299,0.012963166915913276,3.93899658,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,4,4,0,0,8
ETH-USDC,7,-60,40,150.0,86400,1000,981.7604385992,-18.23956140079997,-5.71031311935658,-0.16737413910315374,-0.21804022801486123,-0.03502595599215165,0.01956698214010335,5.90849444,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,4,4,0,0,8
ETH-USDC,7,-60,40,200.0,86400,1000,975.6805857304003,-24.319414269599747,-7.594588136458934,-0.15358938353936813,-0.20088004504888138,-0.045602437476504096,0.02625613131805227,7.87799249,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,4,4,0,0,8
ETH-USDC,7,-60,40,250.0,86400,1000,969.6007328716,-30.39926712839997,-9.469402156902513,-0.13953968606412503,-0.18325257973157424,-0.055582635037150184,0.033033696174535485,9.84749055,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,4,4,0,0,8
ETH-USDC,7,-60,40,300.0,86400,1000,963.5208783903001,-36.47912160969986,-11.334825886752604,-0.12521700504435937,-0.16513687114577522,-0.06493562253116415,0.0399029295714813,11.81698798,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,4,4,0,0,8
ETH-USDC,7,-60,40,350.0,86400,1000,946.4084849096,-53.59151509039998,-11.336559649485672,-0.2709163402087695,-0.35446827575157336,-0.07776698484705821,0.03562881185938431,10.230958939999999,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,3,3,0,0,6
ETH-USDC,7,-60,40,400.0,86400,1000,938.7525549708,-61.24744502919998,-12.923784782387651,-0.25953569881180333,-0.340658155986363,-0.08768751846495217,0.04099476473194751,11.692524429999999,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,3,3,0,0,6
ETH-USDC,7,-60,40,450.0,86400,1000,931.0966248254999,-68.90337517450007,-14.503119595484893,-0.24795008415617367,-0.3265147522264875,-0.09726268960951416,0.04643640651003149,13.15408973,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,3,3,0,0,6
ETH-USDC,7,-60,40,500.0,86400,1000,923.4406948767,-76.55930512329996,-16.074622887082057,-0.23615333424008408,-0.3120243374030801,-0.10647389889481645,0.0519562401296714,14.61565522,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,3,3,0,0,6
