pair,cmo_period,oversold_value,overbought_value,entry_size,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
BTC_USDT,8,-50,50,1.0,10,9.092865753963851,-0.9071342460361489,-13.556328803462762,-1.5025833875284822,-1.8997587634494468,-0.08661884889492248,0.16333637936862017,0.0,10,6.401582782279785,-3.5984172177202147,-45.57995454092219,3,0,0,0,3
DOGE_BTC,8,-50,50,1.0,10,40.48744594354563,30.48744594354563,-30.591371797041184,2.850923437715701,7.240617706783882,-0.34846807654406925,0.6496732641309126,0.0,10,85.95959595959596,75.95959595959596,-34.359400998336106,4,0,0,0,4
ETH_USDT,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,12.465715026044942,2.4657150260449416,-49.80954854862881,0,0,0,0,0
DOGE_USDT,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,55.19950588552978,45.19950588552979,-56.16342832568615,0,0,0,0,0
ETH_BTC,8,-50,50,1.0,10,10.764076295972684,0.7640762959726839,-1.4523710504532772,3.0046096950435204,6.147878678775862,0.07050118857675662,0.06156884874271446,0.0,10,19.446011428571428,9.446011428571428,-25.8897760701647,1,1,0,0,2
XRP_USDT,8,-50,50,1.0,10,8.706979551518643,-1.2930204484813572,-15.98852810764599,-1.3709127066518463,-1.5778092293557455,-0.5236827030902799,0.08220877831734066,0.0,10,15.561499377514318,5.561499377514316,-56.9043448307352,3,0,0,0,3
TRX_USDT,8,-50,50,1.0,10,8.925802556571004,-1.0741974434289965,-21.549544329005375,-0.8755907719885054,-1.1287794181095196,-0.4329251596789063,0.12075143255387626,0.0,10,11.882920733805394,1.8829207338053937,-61.78469257220579,3,0,0,0,3
BTC_USDC,8,-50,50,1.0,10,9.090664517436053,-0.9093354825639466,-13.626910172549946,-1.4903397791799846,-1.8939631899147458,-0.08573440508493171,0.1648240826699225,0.0,10,6.396081518264434,-3.6039184817355663,-45.55248394551796,3,0,0,0,3
XRP_BTC,8,-50,50,1.0,10,21.892578364094263,11.892578364094263,-33.542135504631844,2.5013025463834095,4.945679757519738,0.2897432009308347,0.6942275525226774,0.0,10,24.31547619047619,14.31547619047619,-38.50094365057967,6,0,0,0,6
LTC_USDT,8,-50,50,1.0,10,8.8722409988875,-1.1277590011124996,-32.5034369167631,-0.4922524492278837,-0.6097233428120041,-0.2316175401636921,0.28068618218962926,0.0,10,7.447481742180409,-2.5525182578195906,-63.30884063256029,4,0,0,0,4
SRM_USDT,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,8.419384013574692,-1.5806159864253075,-67.26533784647667,0,0,0,0,0
XMR_BTC,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,14.349725367333585,4.349725367333585,-34.41026353045606,0,0,0,0,0
LTC_BTC,8,-50,50,1.0,10,13.642157767549227,3.6421577675492287,-37.634661381497814,1.4564992150382254,2.158177464897688,0.4491282096540806,0.8249232417159073,0.0,10,11.638282244522488,1.6382822445224896,-39.772932663996315,9,0,0,0,9
TRX_BTC,8,-50,50,1.0,10,15.63987677704688,5.639876777046879,-16.123557082049427,2.2256424324415782,4.319299748587572,0.23670616146076198,0.4913923961826771,0.0,10,18.532110091743125,8.532110091743125,-33.088235294117666,7,5,0,0,12
ETC_USDT,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,38.77153531031612,28.771535310316118,-63.96334162936509,0,0,0,0,0
ETH_USDC,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,12.436370440613027,2.436370440613027,-49.586539629746625,0,0,0,0,0
