pair,cmo_period,oversold_value,overbought_value,entry_size,poloniex_period,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
AMP_USDT,7,-50,50,1.0,86400,10,8.909464463302376,-1.0905355366976242,-18.293555243986262,-0.7207253634230083,-0.9600898224145623,-0.2385175717872254,0.052236486887342705,0.00740649,10,17.760354217528857,7.760354217528857,-63.336860966299,5,1,0,0,6
AMP_USDT,7,-50,50,1.5,86400,10,8.364196703670974,-1.6358032963290263,-27.035835090188616,-0.6669198777496047,-0.8978334526166046,-0.35216951392014323,0.08068027296956068,0.01110974,10,17.760354217528857,7.760354217528857,-63.336860966299,5,1,0,0,6
AMP_USDT,7,-50,50,2.0,86400,10,7.818928955076277,-2.1810710449237227,-35.52411913740015,-0.6066083603216024,-0.8269727069142344,-0.4602713518925211,0.11113801515177173,0.01481298,10,17.760354217528857,7.760354217528857,-63.336860966299,5,1,0,0,6
AMP_USDT,7,-50,50,2.5,86400,10,7.804284930827163,-2.195715069172836,-35.855486355400856,-0.6197423346014214,-0.8426717453381551,-0.46967657585143874,0.11419111208436655,0.01539512,10,17.760354217528857,7.760354217528857,-63.336860966299,4,1,0,0,5
AMP_USDT,7,-50,50,3.0,86400,10,8.130318569689305,-1.8696814303106954,-32.073221176143015,-0.6002850819321277,-0.8208250652389113,-0.41603848674537075,0.10551999142098624,0.01472883,10,17.760354217528857,7.760354217528857,-63.336860966299,3,1,0,0,4
AMP_USDT,7,-50,50,3.5,86400,10,8.728891409446085,-1.271108590553915,-24.86361468045793,-0.48341170744244916,-0.6752104835297347,-0.3087482083661915,0.0886404960455867,0.01281409,10,17.760354217528857,7.760354217528857,-63.336860966299,2,1,0,0,3
AMP_USDT,7,-50,50,4.0,86400,10,8.547304464026716,-1.4526955359732838,-28.025439911585604,-0.4642397514784829,-0.6503802127783964,-0.34841836745627874,0.10202288920285162,0.01464468,10,17.760354217528857,7.760354217528857,-63.336860966299,2,1,0,0,3
AMP_USDT,7,-50,50,4.5,86400,10,8.365717527570645,-1.634282472429355,-31.101622810363168,-0.4447306853300512,-0.6249634681706479,-0.3868854906091284,0.11561934929501506,0.01647526,10,17.760354217528857,7.760354217528857,-63.336860966299,2,1,0,0,3
AMP_USDT,7,-50,50,5.0,86400,10,8.184130602151278,-1.8158693978487221,-34.09559659895156,-0.4248576782366198,-0.5989160923694264,-0.4241043306643523,0.12944354665597546,0.01830584,10,17.760354217528857,7.760354217528857,-63.336860966299,2,1,0,0,3
AMP_USDT,8,-50,50,1.0,86400,10,9.52769723900014,-0.47230276099985957,-8.201674689577573,-0.7909120831796613,-1.0417581520163337,-0.0964319883074306,0.01735190581493054,0.00249688,10,17.760354217528857,7.760354217528857,-63.336860966299,2,0,0,0,2
