pair,cmo_period,oversold_value,overbought_value,entry_size,poloniex_period,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
SOL-USDT,7,-60,40,50.0,86400,1000,990.00434406226,-9.995655937740025,-5.489980382772971,-0.15545207650121043,-0.24823663810867852,-0.09601114451673778,0.028882604962621662,2.44983319,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,7,-60,40,100.0,86400,1000,980.00868866575,-19.991311334249986,-10.912059312560496,-0.11230506736681405,-0.18204663463192436,-0.19026027631275608,0.05926308197140427,4.89966624,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,7,-60,40,150.0,86400,1000,970.0130330100101,-29.986966989989924,-16.26748895469573,-0.06728681070821452,-0.11085129091634555,-0.2823839216324615,0.09133498972117367,7.34949933,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,7,-60,40,200.0,86400,1000,960.01737738824,-39.98262261176001,-21.557490620103557,-0.020219286823796905,-0.03390027098424184,-0.37191969558364085,0.12533184565898545,9.79933238,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,7,-60,40,250.0,86400,1000,942.15043900359,-57.84956099640999,-20.131220009820062,-0.12424895507580708,-0.2056476912509778,-0.386266506986926,0.11911209264608316,9.709548770000001,1000,4910.51100107203,3910.51100107203,-40.252182347235674,4,4,0,0,8
SOL-USDT,7,-60,40,300.0,86400,1000,930.58052704596,-69.41947295403997,-24.12591641901452,-0.08452032218391275,-0.14187571295472026,-0.4603105380494242,0.1466942626944228,11.65145849,1000,4910.51100107203,3910.51100107203,-40.252182347235674,4,4,0,0,8
SOL-USDT,7,-60,40,350.0,86400,1000,923.98494925623,-76.01505074376996,-18.951508198398997,-0.24720321364110767,-0.3978315037377496,-0.39940277091578713,0.11194505259963111,10.11827739,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,7,-60,40,400.0,86400,1000,913.12565652018,-86.87434347982003,-21.65886648541199,-0.21960487166225695,-0.356662251865563,-0.4552836382154177,0.13027238022278226,11.563745560000001,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,7,-60,40,450.0,86400,1000,902.2663635235601,-97.73363647643987,-24.366224772424985,-0.19115314934222383,-0.3134550122352657,-0.5106268189269803,0.14932000455659333,13.009213769999999,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,7,-60,40,500.0,86400,1000,898.4503534196699,-101.54964658033009,-14.135496289968003,-0.5975646991745247,-0.8717205820574075,-0.3664569856239394,0.08025754030061495,9.48995032,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,50.0,86400,1000,1002.7308563718,2.730856371800087,-2.8377568863455567,0.12338092795703554,0.19439734394890143,-0.03569335812144925,0.013869286621191584,1.01374794,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,100.0,86400,1000,1005.4617127670299,5.461712767030008,-5.638222236155009,0.14151997160253796,0.22461610497498716,-0.07066837507314772,0.02800233607499238,2.0274958300000003,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,150.0,86400,1000,1008.19256918883,8.19256918883002,-8.40212642194286,0.1598856532845017,0.25568801249691453,-0.10489834505531387,0.04241500639626809,3.0412437399999996,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,200.0,86400,1000,1010.92342551272,10.923425512719973,-11.130180651529685,0.17848814496793597,0.287667996194701,-0.13835295897554806,0.05712444549128617,4.05499161,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,250.0,86400,1000,1013.65428193452,13.654281934519986,-13.823078102379913,0.19733803480965673,0.32061601446527466,-0.17099789514358762,0.07214924522911206,5.06873951,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,300.0,86400,1000,1016.38513831975,16.385138319750013,-16.481493901969372,0.21644633441659167,0.35459765381318104,-0.2027943299349569,0.0875096114737245,6.082487410000001,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,350.0,86400,1000,1019.11599473155,19.115994731550018,-19.10608620981538,0.23582449204844846,0.3896848336767798,-0.23369838420680547,0.10322756625011466,7.09623532,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,400.0,86400,1000,1021.8468510454401,21.84685104544019,-21.697496336006292,0.2554843966559813,0.42595660836347565,-0.2636604652396674,0.11932717518132206,8.10998321,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,450.0,86400,1000,1024.57770746724,24.57770746724009,-24.256349761786918,0.2754383849960272,0.4635001100883482,-0.2926245091403622,0.13583481698012526,9.123731110000001,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,8,-60,40,500.0,86400,1000,1003.6038678319501,3.603867831950083,-13.617131717882053,0.12727695889715643,0.2011531807955022,-0.189268896515297,0.07402365878537284,5.0182348999999995,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,9,-60,40,50.0,86400,1000,1014.00519353392,14.005193533920078,-1.4643730816917053,0.8622882019617272,1.4278470037244964,-0.00868590282711984,0.010071577818472476,0.57039038,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,9,-60,40,100.0,86400,1000,1028.01038709784,28.010387097840066,-2.914404392457929,0.8680447557214083,1.4418328444676871,-0.01714619086294551,0.02016579767125712,1.1407807399999998,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
